ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /2.44,Q. 2 /0.98,Q. 3 /0.98,Q. 4 /0.24,Q. 5 /0.24,Q. 6 /0.24,Q. 7 /0.49,Q. 8 /0.24,Q. 9 /5.12,Q. 10 /0.24,Q. 11 /7.80,Q. 12 /0.98
3802503.0,Finished,29 novembre 2021  4:13 ,29 novembre 2021  5:35 ,82.0,11.95,1.22,0.24,0.98,0.24,0.24,0.24,0.49,0.00,2.44,0.00,4.88,0.98
28720090.0,Finished,2 décembre 2021  6:00 ,2 décembre 2021  7:03 ,63.0,17.80,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,5.85,0.98
3407463.0,Finished,29 novembre 2021  4:08 ,29 novembre 2021  5:21 ,73.0,16.10,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,3.41,0.24,5.85,0.98
3677161.0,Finished,30 novembre 2021  4:22 ,30 novembre 2021  5:10 ,47.78,17.07,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.24,2.68,0.24,7.80,0.98
28603418.0,Finished,29 novembre 2021  4:10 ,29 novembre 2021  5:32 ,81.0,15.61,2.44,0.73,0.73,0.24,0.24,0.24,0.49,0.00,3.66,0.00,5.85,0.98
28607538.0,Finished,30 novembre 2021  4:14 ,30 novembre 2021  5:29 ,74.0,13.66,2.20,0.98,0.98,0.00,0.24,0.00,0.49,0.24,4.39,0.24,3.90,0.00
3407716.0,Finished,30 novembre 2021  4:12 ,30 novembre 2021  5:18 ,65.0,16.10,2.44,0.49,0.98,0.24,0.24,0.24,0.49,0.24,3.66,0.24,5.85,0.98
3674474.0,Finished,29 novembre 2021  4:13 ,29 novembre 2021  5:47 ,94.0,15.12,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.00,3.90,0.00,5.85,0.00
28604190.0,Finished,30 novembre 2021  4:14 ,30 novembre 2021  5:18 ,64.0,15.12,2.44,0.73,0.98,0.24,0.24,0.00,0.49,0.24,4.63,0.24,3.90,0.98
21113747.0,Finished,29 novembre 2021  4:07 ,29 novembre 2021  5:20 ,73.0,18.05,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,6.83,0.98
3800028.0,Finished,29 novembre 2021  4:17 ,29 novembre 2021  5:40 ,82.0,17.07,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.24,5.85,0.98
28607117.0,Finished,29 novembre 2021  4:12 ,29 novembre 2021  5:32 ,80.0,14.63,1.95,0.73,0.98,0.24,0.24,0.24,0.49,0.00,4.39,0.00,4.88,0.49
28619891.0,Finished,1 décembre 2021  10:58 ,1 décembre 2021  12:26 ,87.0,14.63,1.46,0.98,0.73,0.24,0.00,0.24,0.49,0.24,3.17,0.24,5.85,0.98
28600653.0,Finished,30 novembre 2021  3:57 ,30 novembre 2021  5:04 ,66.0,15.85,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,3.17,0.24,5.85,0.98
28620112.0,Finished,2 décembre 2021  5:56 ,2 décembre 2021  6:44 ,48.32,17.56,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,3.90,0.24,6.83,0.98
28602386.0,Finished,2 décembre 2021  5:58 ,2 décembre 2021  6:42 ,43.8,17.07,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.24,5.85,0.98
28600769.0,Finished,1 décembre 2021  10:58 ,1 décembre 2021  12:32 ,93.0,14.63,2.44,0.98,0.73,0.24,0.24,0.24,0.49,0.24,3.17,0.00,5.85,0.00
28606830.0,Finished,29 novembre 2021  4:47 ,29 novembre 2021  5:44 ,56.88,15.85,2.44,0.98,0.73,0.24,0.24,0.24,0.49,0.00,3.66,0.00,5.85,0.98
28600492.0,Finished,29 novembre 2021  4:12 ,29 novembre 2021  4:52 ,39.88,17.32,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.98
28605022.0,Finished,1 décembre 2021  10:58 ,1 décembre 2021  12:10 ,71.0,15.12,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,3.90,0.98
28711440.0,Finished,29 novembre 2021  4:00 ,29 novembre 2021  5:40 ,99.0,12.93,1.71,0.49,0.98,0.24,0.24,0.24,0.49,0.24,3.17,0.24,3.90,0.98
28600464.0,Finished,30 novembre 2021  4:18 ,30 novembre 2021  5:08 ,50.4,19.27,2.44,0.98,0.73,0.24,0.24,0.24,0.49,0.24,4.63,0.24,7.80,0.98
28604304.0,Finished,29 novembre 2021  4:02 ,29 novembre 2021  5:11 ,68.0,17.07,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.24,5.85,0.98
28608396.0,Finished,30 novembre 2021  4:03 ,30 novembre 2021  5:14 ,71.0,19.27,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.24,7.80,0.98
3708782.0,Finished,30 novembre 2021  4:13 ,30 novembre 2021  5:17 ,63.0,16.59,2.20,0.73,0.98,0.24,0.24,0.00,0.49,0.24,4.39,0.24,5.85,0.98
28610448.0,Finished,1 décembre 2021  10:59 ,1 décembre 2021  12:26 ,87.0,15.12,2.44,0.49,0.98,0.24,0.24,0.24,0.49,0.00,2.93,0.24,5.85,0.98
28601953.0,Finished,2 décembre 2021  6:01 ,2 décembre 2021  6:44 ,42.47,16.59,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,3.90,0.24,5.85,0.98
28600470.0,Finished,1 décembre 2021  10:58 ,1 décembre 2021  12:28 ,89.0,17.32,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.98
3702809.0,Finished,1 décembre 2021  10:59 ,1 décembre 2021  12:25 ,86.0,14.63,1.46,0.73,0.73,0.24,0.24,0.24,0.49,0.24,3.17,0.24,5.85,0.98
