ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.00,Q. 2 /0.00,Q. 3 /0.35,Q. 4 /2.11,Q. 5 /0.35,Q. 6 /4.21,Q. 7 /0.35,Q. 8 /4.91,Q. 9 /1.05,Q. 10 /3.16,Q. 11 /3.51
3804195.0,Finished,20 septembre 2021  4:00 ,20 septembre 2021  5:11 ,70.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3802503.0,Finished,20 septembre 2021  4:27 ,20 septembre 2021  5:14 ,46.98,18.95,-,-,0.35,2.11,0.35,4.21,0.35,4.21,0.70,3.16,3.51
28720090.0,Finished,23 septembre 2021  6:04 ,23 septembre 2021  6:48 ,44.4,19.30,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,3.16,3.51
3407463.0,Finished,20 septembre 2021  4:05 ,20 septembre 2021  5:05 ,59.6,19.02,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.53,3.16
28603418.0,Finished,20 septembre 2021  4:18 ,20 septembre 2021  5:20 ,62.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28607538.0,Finished,21 septembre 2021  4:25 ,21 septembre 2021  5:27 ,61.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3674474.0,Finished,20 septembre 2021  4:30 ,20 septembre 2021  5:41 ,70.0,10.09,-,-,0.26,2.11,0.35,4.21,0.35,2.81,-,-,-
28604190.0,Finished,21 septembre 2021  4:12 ,21 septembre 2021  5:26 ,73.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
21113747.0,Finished,20 septembre 2021  4:03 ,20 septembre 2021  5:03 ,59.22,18.67,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.53,2.81
3800028.0,Finished,20 septembre 2021  4:07 ,20 septembre 2021  5:01 ,53.58,17.84,-,-,0.35,2.11,0.26,4.21,0.35,4.91,1.05,2.84,1.75
28607117.0,Finished,20 septembre 2021  4:06 ,20 septembre 2021  5:09 ,62.0,17.23,-,-,0.35,1.40,0.35,2.81,0.35,4.91,1.05,2.84,3.16
3800075.0,Finished,21 septembre 2021  4:05 ,21 septembre 2021  5:06 ,60.0,15.82,-,-,0.35,1.40,0.35,2.81,0.35,3.16,1.05,2.84,3.51
28600653.0,Finished,21 septembre 2021  4:07 ,21 septembre 2021  4:50 ,43.45,18.60,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,2.11
28610514.0,Finished,22 septembre 2021  11:00 ,22 septembre 2021  11:43 ,43.18,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28609831.0,Finished,23 septembre 2021  6:04 ,23 septembre 2021  6:54 ,49.98,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28607831.0,Finished,23 septembre 2021  6:04 ,23 septembre 2021  6:39 ,35.17,18.25,-,-,0.00,2.11,0.00,4.21,0.00,4.21,1.05,3.16,3.51
28620112.0,Finished,23 septembre 2021  6:02 ,23 septembre 2021  6:40 ,38.13,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28606830.0,Finished,20 septembre 2021  4:22 ,20 septembre 2021  5:11 ,49.3,18.98,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,2.84,3.16
