ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.36,Q. 2 /0.36,Q. 3 /0.36,Q. 4 /0.36,Q. 5 /1.45,Q. 6 /0.36,Q. 7 /0.36,Q. 8 /1.45,Q. 9 /0.73,Q. 10 /4.36,Q. 11 /0.36,Q. 12 /1.45,Q. 13 /1.45,Q. 14 /4.36,Q. 15 /0.73,Q. 16 /1.45
3804195.0,Finished,22 novembre 2021  4:08 ,22 novembre 2021  5:32 ,83.0,18.18,0.00,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,0.73
3802503.0,Finished,22 novembre 2021  4:01 ,22 novembre 2021  5:32 ,91.0,17.45,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.09,0.73,2.83,0.00,1.45,1.16,4.36,0.73,1.45
28720090.0,Finished,25 novembre 2021  5:58 ,25 novembre 2021  7:25 ,86.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
3407463.0,Finished,22 novembre 2021  4:01 ,22 novembre 2021  5:19 ,77.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
3677161.0,Finished,23 novembre 2021  4:10 ,23 novembre 2021  5:36 ,85.0,19.27,0.00,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,1.45
28607538.0,Finished,23 novembre 2021  4:15 ,23 novembre 2021  5:30 ,74.0,18.91,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,0.73
3810013.0,Finished,22 novembre 2021  4:01 ,22 novembre 2021  5:30 ,89.0,19.27,0.36,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
21109700.0,Finished,23 novembre 2021  4:15 ,23 novembre 2021  5:58 ,102.0,18.91,0.00,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
28610199.0,Finished,22 novembre 2021  4:00 ,22 novembre 2021  5:24 ,83.0,18.55,0.00,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,1.09
3407716.0,Finished,23 novembre 2021  4:17 ,23 novembre 2021  5:28 ,71.0,16.75,0.36,0.36,0.00,0.36,1.45,0.36,0.36,0.00,0.73,4.25,0.36,1.45,0.87,4.36,0.73,0.73
28604190.0,Finished,23 novembre 2021  4:15 ,23 novembre 2021  5:28 ,73.0,18.43,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.25,0.36,1.09,1.45,4.00,0.73,0.73
21113747.0,Finished,22 novembre 2021  4:03 ,22 novembre 2021  5:17 ,73.0,19.27,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,1.09
3800028.0,Finished,22 novembre 2021  4:02 ,22 novembre 2021  5:36 ,93.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
28620112.0,Finished,25 novembre 2021  6:03 ,25 novembre 2021  7:05 ,62.0,18.56,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.01,0.36,1.45,1.45,3.64,0.73,1.09
28602386.0,Finished,25 novembre 2021  5:58 ,25 novembre 2021  6:46 ,48.22,18.55,0.36,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,0.36
3700630.0,Finished,22 novembre 2021  4:02 ,22 novembre 2021  5:31 ,88.0,18.57,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,3.66,0.36,1.45,1.45,4.36,0.73,0.73
28600769.0,Finished,24 novembre 2021  10:57 ,24 novembre 2021  12:39 ,102.0,18.98,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.09,0.36,4.36,0.36,1.45,1.16,4.36,0.73,1.45
28600492.0,Finished,22 novembre 2021  4:00 ,22 novembre 2021  5:13 ,73.0,19.27,0.00,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
28605022.0,Finished,24 novembre 2021  10:56 ,24 novembre 2021  12:06 ,70.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
28711440.0,Finished,22 novembre 2021  4:00 ,22 novembre 2021  5:21 ,80.0,17.78,0.36,0.36,0.36,0.36,1.45,0.18,0.36,1.45,0.73,4.36,0.36,1.45,0.87,3.64,0.73,0.73
3702996.0,Finished,24 novembre 2021  10:56 ,24 novembre 2021  12:09 ,72.0,17.62,0.36,0.36,0.36,0.36,1.45,0.36,-,1.45,0.73,3.66,0.36,1.45,0.87,4.36,0.73,0.73
28604304.0,Finished,22 novembre 2021  4:00 ,22 novembre 2021  5:14 ,74.0,19.27,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,1.09
28608396.0,Finished,23 novembre 2021  4:10 ,23 novembre 2021  5:54 ,103.0,18.18,0.36,0.36,0.36,0.36,1.09,0.36,0.36,1.09,0.73,4.36,0.36,1.45,1.45,3.64,0.73,1.09
28610448.0,Finished,24 novembre 2021  10:57 ,24 novembre 2021  12:19 ,82.0,19.27,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,1.09
3702809.0,Finished,24 novembre 2021  10:57 ,24 novembre 2021  12:11 ,73.0,18.55,0.36,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,3.27,0.73,1.45
21116436.0,Finished,22 novembre 2021  4:05 ,22 novembre 2021  5:34 ,88.0,18.93,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,3.66,0.36,1.45,1.45,4.36,0.73,1.09
28601301.0,Finished,22 novembre 2021  4:02 ,22 novembre 2021  5:10 ,68.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
28605864.0,Finished,25 novembre 2021  5:57 ,25 novembre 2021  6:56 ,58.92,17.27,0.00,0.00,0.36,0.36,1.45,0.36,0.18,1.45,0.73,4.36,0.36,1.45,1.45,3.27,0.73,0.73
3808875.0,Finished,22 novembre 2021  4:00 ,22 novembre 2021  5:20 ,79.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
