ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.00,Q. 2 /0.35,Q. 3 /2.11,Q. 4 /0.35,Q. 5 /4.21,Q. 6 /0.35,Q. 7 /4.91,Q. 8 /1.05,Q. 9 /3.16,Q. 10 /3.51
3708951.0,Finished,30 September 2020  10:54 AM,30 September 2020  12:12 PM,77.0,19.30,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,3.16,3.51
3701943.0,Finished,2 October 2020  11:03 AM,2 October 2020  12:06 PM,63.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3302425.0,Finished,28 September 2020  4:42 PM,28 September 2020  5:35 PM,52.78,19.33,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.16
3800455.0,Finished,30 September 2020  10:57 AM,30 September 2020  12:20 PM,83.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3700584.0,Finished,30 September 2020  10:54 AM,30 September 2020  12:03 PM,69.0,19.65,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
3800333.0,Finished,30 September 2020  10:56 AM,30 September 2020  11:48 AM,52.27,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3800411.0,Finished,30 September 2020  10:54 AM,30 September 2020  11:53 AM,58.9,18.95,-,0.35,2.11,0.35,3.16,0.35,4.91,1.05,3.16,3.51
3407716.0,Finished,28 September 2020  4:39 PM,28 September 2020  5:45 PM,66.0,18.25,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,2.11
3706539.0,Finished,2 October 2020  4:01 PM,2 October 2020  4:45 PM,43.73,19.30,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,3.16,3.51
3520680.0,Finished,2 October 2020  3:35 PM,2 October 2020  3:56 PM,20.37,19.65,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
3800042.0,Finished,28 September 2020  4:44 PM,28 September 2020  5:40 PM,55.67,18.60,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,2.11
3520431.0,Finished,30 September 2020  10:55 AM,30 September 2020  12:12 PM,77.0,16.04,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,0.95,1.75
3800417.0,Finished,1 October 2020  11:04 AM,1 October 2020  11:49 AM,45.52,19.65,-,0.35,2.11,0.35,4.21,0.35,4.56,1.05,3.16,3.51
3520375.0,Finished,28 September 2020  4:34 PM,28 September 2020  5:30 PM,56.15,19.30,-,0.35,2.11,0.35,3.86,0.35,4.91,1.05,3.16,3.16
3702742.0,Finished,1 October 2020  11:02 AM,1 October 2020  11:52 AM,49.37,18.60,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,2.11
3872455.0,Finished,2 October 2020  4:02 PM,2 October 2020  4:39 PM,37.33,18.60,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,2.11
3800075.0,Finished,2 October 2020  11:16 AM,2 October 2020  11:56 AM,40.53,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3802719.0,Finished,2 October 2020  4:09 PM,2 October 2020  4:49 PM,39.75,18.95,-,0.00,2.11,0.00,4.21,0.00,4.91,1.05,3.16,3.51
3802466.0,Finished,28 September 2020  4:27 PM,28 September 2020  5:35 PM,67.0,19.30,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,3.16,3.51
3671094.0,Finished,28 September 2020  4:40 PM,28 September 2020  5:47 PM,66.0,19.33,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.16
3803565.0,Finished,30 September 2020  10:58 AM,30 September 2020  12:16 PM,78.0,19.30,-,0.35,2.11,0.35,4.21,0.35,4.21,1.05,3.16,3.51
3670777.0,Finished,1 October 2020  11:03 AM,1 October 2020  12:03 PM,60.0,18.60,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,2.11
3702385.0,Finished,2 October 2020  4:20 PM,2 October 2020  5:07 PM,47.5,19.68,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.51
3802999.0,Finished,30 September 2020  11:00 AM,30 September 2020  12:22 PM,82.0,16.49,-,0.35,2.11,0.35,4.21,0.18,4.21,0.35,1.58,3.16
3670241.0,Finished,2 October 2020  3:15 PM,2 October 2020  4:56 PM,100.0,18.28,-,0.35,2.11,0.35,4.21,0.35,4.91,0.00,2.84,3.16
3803025.0,Finished,2 October 2020  4:02 PM,2 October 2020  4:52 PM,50.43,19.30,-,0.35,2.11,0.35,4.21,0.35,4.21,1.05,3.16,3.51
3800494.0,Finished,30 September 2020  10:54 AM,30 September 2020  11:52 AM,57.62,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28507556.0,Finished,30 September 2020  10:55 AM,30 September 2020  12:05 PM,70.0,19.65,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
3413360.0,Finished,2 October 2020  3:49 PM,2 October 2020  4:58 PM,68.0,7.75,-,0.35,0.00,0.35,0.00,0.35,0.00,0.70,2.84,3.16
3971280.0,Finished,2 October 2020  11:01 AM,2 October 2020  12:01 PM,59.57,19.68,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.51
3702996.0,Finished,30 September 2020  10:55 AM,30 September 2020  11:42 AM,46.7,19.33,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.16
3802811.0,Finished,28 September 2020  4:48 PM,28 September 2020  5:41 PM,53.25,19.02,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.53,3.16
3801528.0,Finished,28 September 2020  4:36 PM,28 September 2020  5:35 PM,59.53,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28716768.0,Finished,30 September 2020  10:55 AM,30 September 2020  12:16 PM,81.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3802881.0,Finished,1 October 2020  10:58 AM,1 October 2020  12:13 PM,74.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3709095.0,Finished,30 September 2020  10:54 AM,30 September 2020  11:53 AM,58.95,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3704090.0,Finished,28 September 2020  4:33 PM,28 September 2020  5:38 PM,65.0,19.30,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,3.16,3.51
3302184.0,Finished,2 October 2020  4:31 PM,2 October 2020  5:40 PM,69.0,18.98,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,2.84,3.16
3802410.0,Finished,2 October 2020  4:01 PM,2 October 2020  4:51 PM,49.43,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3521322.0,Finished,2 October 2020  11:03 AM,2 October 2020  12:10 PM,66.0,18.63,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,2.84,3.16
28616887.0,Finished,28 September 2020  4:27 PM,28 September 2020  5:29 PM,61.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3700530.0,Finished,30 September 2020  10:54 AM,30 September 2020  12:12 PM,77.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3800103.0,Finished,2 October 2020  4:03 PM,2 October 2020  4:44 PM,41.23,19.33,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.16
3700640.0,Finished,1 October 2020  10:02 PM,1 October 2020  11:44 PM,102.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3805644.0,Finished,1 October 2020  11:11 AM,1 October 2020  11:43 AM,32.05,19.65,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.16
3800099.0,Finished,2 October 2020  4:02 PM,2 October 2020  4:57 PM,55.05,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3802336.0,Finished,2 October 2020  11:20 AM,2 October 2020  12:23 PM,62.0,18.25,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,1.75
3671035.0,Finished,28 September 2020  4:22 PM,28 September 2020  5:27 PM,65.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
