ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.05,Q. 2 /1.58,Q. 3 /0.53,Q. 4 /0.53,Q. 5 /0.53,Q. 6 /1.58,Q. 7 /0.53,Q. 8 /0.53,Q. 9 /1.58,Q. 10 /1.05,Q. 11 /3.68,Q. 12 /0.53,Q. 13 /4.21,Q. 14 /2.11
3670795.0,Finished,11 December 2020  10:48 AM,11 December 2020  12:05 PM,76.0,14.74,1.05,1.58,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3801935.0,Finished,11 December 2020  5:21 PM,11 December 2020  6:52 PM,91.0,12.63,0.53,1.05,0.53,0.53,0.00,1.05,0.00,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3680559.0,Finished,11 December 2020  4:13 PM,11 December 2020  5:00 PM,47.02,15.79,1.05,1.58,0.53,0.53,0.53,1.05,0.00,0.00,1.58,1.05,2.11,0.53,3.16,2.11
3672216.0,Finished,11 December 2020  6:33 PM,11 December 2020  6:40 PM,6.98,14.21,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3971113.0,Finished,11 December 2020  11:17 AM,11 December 2020  12:21 PM,63.0,16.32,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,2.11
28616582.0,Finished,11 December 2020  8:46 AM,11 December 2020  9:30 AM,43.65,12.63,0.00,0.00,0.53,0.00,0.53,1.05,0.53,0.53,1.05,1.05,2.11,0.53,2.63,2.11
28507548.0,Finished,11 December 2020  5:49 PM,11 December 2020  7:00 PM,70.0,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
28717951.0,Finished,11 December 2020  1:28 AM,11 December 2020  2:22 AM,54.25,18.95,1.05,1.58,0.53,0.53,0.53,1.58,0.53,0.53,1.05,1.05,3.68,0.53,3.68,2.11
28614429.0,Finished,11 December 2020  4:22 PM,11 December 2020  4:25 PM,3.92,13.68,1.05,0.53,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3803521.0,Finished,11 December 2020  4:07 PM,11 December 2020  5:49 PM,101.0,16.84,1.05,1.05,0.53,0.00,0.53,1.58,0.53,0.53,1.05,1.05,3.16,0.53,3.16,2.11
3700288.0,Finished,11 December 2020  3:57 PM,11 December 2020  5:36 PM,99.0,11.05,1.05,0.53,0.53,0.53,0.00,1.05,0.53,0.53,1.05,1.05,3.16,0.53,0.53,-
3810883.0,Finished,11 December 2020  4:13 PM,11 December 2020  5:00 PM,47.1,16.32,1.05,1.58,0.53,0.53,0.53,1.05,0.00,0.00,1.58,1.05,2.63,0.53,3.16,2.11
3802927.0,Finished,11 December 2020  4:01 PM,11 December 2020  5:46 PM,104.0,15.79,1.05,0.53,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,2.11
3706553.0,Finished,11 December 2020  10:54 AM,11 December 2020  12:33 PM,98.0,13.16,1.05,1.05,0.53,0.53,0.00,1.05,0.00,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3708951.0,Finished,11 December 2020  10:41 AM,11 December 2020  12:26 PM,105.0,14.74,1.05,0.53,0.53,0.53,0.53,1.58,0.53,0.00,1.05,1.05,1.58,0.53,3.16,2.11
28720090.0,Finished,12 December 2020  10:10 PM,12 December 2020  11:30 PM,79.0,6.84,0.53,0.00,0.53,-,0.00,1.05,0.53,0.00,-,-,-,-,3.16,1.05
3701943.0,Finished,11 December 2020  11:13 AM,11 December 2020  12:14 PM,60.0,13.68,0.53,1.05,0.53,0.53,0.00,1.05,0.53,0.53,1.58,1.05,3.16,0.53,2.63,0.00
3302425.0,Finished,11 December 2020  4:30 PM,11 December 2020  5:28 PM,57.73,13.16,1.05,0.53,0.53,0.00,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3801875.0,Finished,11 December 2020  5:14 PM,11 December 2020  6:39 PM,84.0,15.26,1.05,0.00,0.00,0.53,0.53,1.58,0.00,0.53,1.58,1.05,2.63,0.53,3.16,2.11
3800455.0,Finished,9 December 2020  11:30 AM,9 December 2020  12:36 PM,66.0,18.42,1.05,1.58,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.68,0.53,3.68,2.11
3700584.0,Finished,11 December 2020  2:55 PM,11 December 2020  3:43 PM,47.88,14.21,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3800333.0,Finished,9 December 2020  11:24 AM,9 December 2020  12:25 PM,61.0,18.42,1.05,1.58,0.53,0.53,0.53,1.58,0.53,0.53,1.05,1.05,3.68,0.53,3.16,2.11
3800411.0,Finished,9 December 2020  10:55 AM,9 December 2020  11:58 AM,63.0,16.32,1.05,1.58,0.53,0.53,0.00,1.58,0.53,0.53,1.05,1.05,2.11,0.53,3.16,2.11
3706539.0,Finished,11 December 2020  4:14 PM,11 December 2020  5:00 PM,46.68,15.26,1.05,1.58,0.53,0.53,0.53,1.05,0.00,0.00,1.58,1.05,1.58,0.53,3.16,2.11
28718098.0,Finished,10 December 2020  11:55 AM,10 December 2020  1:40 PM,105.0,10.00,0.53,0.53,0.53,0.00,0.53,1.05,0.53,0.53,1.05,-,2.11,-,2.63,0.00
3970876.0,Finished,11 December 2020  4:21 PM,11 December 2020  6:02 PM,101.0,17.37,1.05,0.53,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,4.21,2.11
3520680.0,Finished,11 December 2020  12:01 PM,11 December 2020  12:12 PM,11.42,14.74,1.05,1.58,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3800042.0,Finished,11 December 2020  3:19 PM,11 December 2020  4:27 PM,67.0,12.11,0.53,1.05,0.53,0.53,0.00,1.05,0.53,0.53,1.05,-,3.16,0.53,2.63,-
3520431.0,Finished,9 December 2020  10:45 AM,9 December 2020  12:01 PM,76.0,8.95,0.53,0.00,0.53,0.53,0.53,1.05,0.00,-,1.05,1.05,3.16,0.53,-,0.00
3800417.0,Finished,10 December 2020  5:53 PM,10 December 2020  6:36 PM,42.65,13.16,0.53,0.00,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,3.16,0.00
3520375.0,Finished,7 December 2020  4:34 PM,7 December 2020  5:27 PM,52.85,0.53,0.00,0.00,0.53,-,-,-,-,-,-,-,-,-,-,-
3702742.0,Finished,11 December 2020  3:35 PM,11 December 2020  4:32 PM,57.13,13.16,0.53,0.53,0.53,0.53,0.00,1.05,0.53,0.53,1.05,1.05,3.16,0.53,3.16,0.00
3872455.0,Finished,11 December 2020  4:05 PM,11 December 2020  5:29 PM,83.0,12.63,0.53,1.58,0.53,0.53,0.53,1.58,0.53,0.00,1.58,1.05,0.53,0.53,3.16,0.00
3802719.0,Finished,11 December 2020  4:14 PM,11 December 2020  4:53 PM,38.75,13.68,0.53,0.53,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,1.05,0.53,3.16,2.11
3802466.0,Finished,7 December 2020  4:16 PM,7 December 2020  5:51 PM,95.0,9.47,0.53,0.00,0.00,0.00,0.00,1.05,0.53,0.53,1.58,1.05,3.16,0.53,0.53,0.00
3671094.0,Finished,11 December 2020  6:05 PM,11 December 2020  6:12 PM,6.48,13.16,0.53,1.05,0.53,0.00,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3803565.0,Finished,11 December 2020  2:11 PM,11 December 2020  3:24 PM,73.0,16.84,1.05,1.58,0.53,0.53,0.53,1.05,0.00,0.53,1.05,1.05,3.68,0.53,2.63,2.11
3670777.0,Finished,11 December 2020  5:43 PM,11 December 2020  5:47 PM,4.13,13.16,0.53,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.11,0.00
3702385.0,Finished,11 December 2020  12:19 PM,11 December 2020  1:15 PM,56.18,13.68,1.05,0.53,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3802999.0,Finished,11 December 2020  12:47 AM,11 December 2020  12:56 AM,8.83,13.16,0.53,0.00,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,3.16,0.00
3700149.0,Finished,11 December 2020  3:24 PM,11 December 2020  3:32 PM,7.77,14.21,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
