ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /3.33,Q. 2 /4.67,Q. 3 /1.33,Q. 4 /2.67,Q. 5 /3.33,Q. 6 /4.67
3302425.0,Finished,8 January 2021  2:57 PM,8 January 2021  3:53 PM,56.15,18.33,3.00,4.00,1.33,2.67,2.67,4.67
3801875.0,Finished,8 January 2021  3:59 PM,8 January 2021  5:09 PM,70.0,19.78,3.33,4.67,1.33,2.67,3.33,4.44
3800455.0,Finished,6 January 2021  10:53 AM,6 January 2021  12:03 PM,69.0,19.33,3.33,4.67,1.33,2.67,3.33,4.00
3700584.0,Finished,8 January 2021  3:14 PM,8 January 2021  3:39 PM,24.35,19.70,3.33,4.67,1.33,2.37,3.33,4.67
3800333.0,Finished,6 January 2021  10:58 AM,6 January 2021  11:59 AM,60.0,19.11,3.33,4.67,0.67,2.67,3.33,4.44
3700463.0,Finished,8 January 2021  2:04 PM,8 January 2021  2:32 PM,27.57,18.67,3.33,4.67,0.67,2.67,3.33,4.00
3800411.0,Finished,6 January 2021  10:48 AM,6 January 2021  11:46 AM,58.5,16.00,3.33,2.00,0.67,2.67,3.33,4.00
3706539.0,Finished,8 January 2021  4:04 PM,8 January 2021  5:13 PM,69.0,12.44,3.33,0.67,0.00,2.67,3.33,2.44
28718098.0,Finished,18 January 2021  10:39 AM,18 January 2021  12:08 PM,88.0,13.63,3.33,0.67,0.00,2.07,3.33,4.22
3970876.0,Finished,18 January 2021  10:47 AM,18 January 2021  11:32 AM,44.65,18.44,3.33,4.00,0.67,2.67,3.33,4.44
3520680.0,Finished,8 January 2021  5:40 PM,8 January 2021  5:46 PM,5.18,8.67,2.67,4.67,1.33,-,-,-
3800042.0,Finished,8 January 2021  3:39 PM,8 January 2021  4:44 PM,65.0,12.15,2.00,4.67,1.33,1.48,2.67,-
3520431.0,Finished,6 January 2021  10:46 AM,6 January 2021  11:54 AM,68.0,12.15,3.33,0.67,-,2.37,2.00,3.78
3800417.0,Finished,7 January 2021  3:36 PM,7 January 2021  4:43 PM,67.0,18.44,3.33,4.67,0.00,2.67,3.33,4.44
3702742.0,Finished,8 January 2021  1:56 PM,8 January 2021  3:05 PM,69.0,14.81,3.33,0.67,0.67,2.37,3.33,4.44
3872455.0,Finished,8 January 2021  4:06 PM,8 January 2021  5:16 PM,69.0,19.11,3.33,4.67,1.33,2.67,3.33,3.78
3802719.0,Finished,8 January 2021  5:15 PM,8 January 2021  5:44 PM,28.93,18.78,2.33,4.67,1.33,2.67,3.33,4.44
3802466.0,Finished,4 January 2021  4:12 PM,4 January 2021  5:56 PM,103.0,14.37,3.33,0.67,0.00,2.37,3.33,4.67
3671094.0,Finished,8 January 2021  4:17 PM,8 January 2021  5:07 PM,49.27,18.07,3.33,4.67,0.00,2.07,3.33,4.67
3803565.0,Finished,8 January 2021  12:31 PM,8 January 2021  1:37 PM,66.0,19.11,3.33,4.00,1.33,2.67,3.33,4.44
3802999.0,Finished,7 January 2021  10:04 PM,7 January 2021  10:41 PM,37.82,20.00,3.33,4.67,1.33,2.67,3.33,4.67
3700149.0,Finished,8 January 2021  2:37 PM,8 January 2021  2:42 PM,4.43,19.15,3.00,4.67,1.33,2.37,3.33,4.44
3802342.0,Finished,7 January 2021  3:39 PM,7 January 2021  4:43 PM,64.0,15.48,3.33,2.00,0.00,2.37,3.33,4.44
3803025.0,Finished,8 January 2021  4:04 PM,8 January 2021  5:20 PM,75.0,19.56,3.33,4.67,1.33,2.67,3.33,4.22
3800494.0,Finished,6 January 2021  10:59 AM,6 January 2021  11:54 AM,54.85,15.78,3.33,2.00,0.00,2.67,3.33,4.44
28507556.0,Finished,6 January 2021  10:46 AM,6 January 2021  12:19 PM,93.0,16.00,3.33,2.00,1.33,2.67,3.33,3.33
3971280.0,Finished,8 January 2021  11:25 AM,8 January 2021  12:06 PM,40.95,19.11,3.33,4.67,0.67,2.67,3.33,4.44
3801528.0,Finished,8 January 2021  2:23 PM,8 January 2021  2:58 PM,35.1,18.00,3.33,4.00,0.67,2.67,2.67,4.67
28716768.0,Finished,6 January 2021  10:47 AM,6 January 2021  12:00 PM,72.0,16.22,3.33,2.67,0.67,2.67,3.33,3.56
3802881.0,Finished,18 January 2021  10:47 AM,18 January 2021  11:57 AM,70.0,19.78,3.33,4.67,1.33,2.67,3.33,4.44
3803966.0,Finished,7 January 2021  10:53 PM,7 January 2021  11:46 PM,52.87,14.67,3.33,3.33,0.00,2.67,2.00,3.33
3709095.0,Finished,6 January 2021  10:49 AM,6 January 2021  11:45 AM,55.97,12.78,3.00,0.67,0.00,2.67,2.67,3.78
3704090.0,Finished,8 January 2021  4:15 PM,8 January 2021  4:32 PM,16.63,19.33,3.33,4.67,0.67,2.67,3.33,4.67
28718372.0,Finished,8 January 2021  10:09 AM,8 January 2021  11:20 AM,70.0,18.37,3.33,4.00,0.67,2.37,3.33,4.67
3302184.0,Finished,8 January 2021  4:02 PM,8 January 2021  4:54 PM,51.37,18.22,3.33,4.67,0.67,2.67,3.33,3.56
3802410.0,Finished,8 January 2021  4:37 PM,8 January 2021  5:06 PM,28.42,19.67,3.00,4.67,1.33,2.67,3.33,4.67
3802713.0,Finished,8 January 2021  4:13 PM,8 January 2021  5:45 PM,92.0,17.11,3.33,3.33,0.67,2.67,3.33,3.78
