ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /4.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /8.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /3.00,Q. 8 /1.00
3802135.0,Finished,7 December 2020  12:22 AM,7 December 2020  12:29 AM,6.87,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
3803619.0,Finished,5 December 2020  5:38 PM,5 December 2020  6:51 PM,72.0,8.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00
3802009.0,Finished,24 January 2021  6:04 PM,24 January 2021  6:13 PM,8.55,20.00,4.00,1.00,1.00,8.00,1.00,1.00,3.00,1.00
3804139.0,Finished,6 December 2020  7:19 PM,6 December 2020  8:31 PM,72.0,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
3800432.0,Finished,3 December 2020  4:06 PM,3 December 2020  5:36 PM,89.0,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
3876256.0,Finished,6 December 2020  9:52 PM,6 December 2020  11:07 PM,74.0,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
28502318.0,Finished,6 December 2020  10:44 PM,6 December 2020  11:50 PM,66.0,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
3702388.0,Finished,7 December 2020  10:27 AM,7 December 2020  10:32 AM,4.72,8.50,3.50,1.00,1.00,0.00,1.00,1.00,0.00,1.00
3802651.0,Finished,6 December 2020  9:00 AM,6 December 2020  9:07 AM,6.77,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
3416871.0,Finished,30 November 2020  2:56 PM,30 November 2020  4:23 PM,86.0,6.00,3.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
3671634.0,Finished,6 December 2020  9:07 PM,6 December 2020  9:09 PM,1.87,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
3700108.0,Finished,1 December 2020  12:22 PM,1 December 2020  1:01 PM,38.47,7.00,4.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
3410283.0,Finished,6 December 2020  10:53 PM,6 December 2020  11:05 PM,12.17,8.50,3.50,1.00,1.00,0.00,1.00,1.00,0.00,1.00
