ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /3.33,Q. 2 /8.67,Q. 3 /8.00
3800411.0,Finished,8 November 2020  9:28 PM,8 November 2020  9:45 PM,17.03,19.33,3.33,8.67,7.33
3706539.0,Finished,3 November 2020  2:21 PM,3 November 2020  2:40 PM,19.22,20.00,3.33,8.67,8.00
28718098.0,Finished,8 November 2020  9:48 PM,8 November 2020  10:13 PM,24.55,19.33,3.33,8.00,8.00
3970876.0,Finished,8 November 2020  11:54 PM,9 November 2020  1:00 AM,66.0,20.00,3.33,8.67,8.00
3520680.0,Finished,9 November 2020  3:26 AM,9 November 2020  3:50 AM,24.43,20.00,3.33,8.67,8.00
3800042.0,Finished,9 November 2020  8:32 AM,9 November 2020  9:45 AM,72.0,20.00,3.33,8.67,8.00
3520431.0,Finished,2 November 2020  4:29 PM,2 November 2020  4:52 PM,22.97,20.00,3.33,8.67,8.00
3800417.0,Finished,8 November 2020  9:33 PM,8 November 2020  9:49 PM,16.02,16.00,3.33,6.67,6.00
3520375.0,Finished,8 November 2020  3:20 PM,8 November 2020  3:54 PM,33.65,19.33,2.67,8.67,8.00
3702742.0,Finished,8 November 2020  6:51 PM,8 November 2020  8:00 PM,68.0,20.00,3.33,8.67,8.00
3872455.0,Finished,8 November 2020  5:34 PM,8 November 2020  6:05 PM,30.77,20.00,3.33,8.67,8.00
3802719.0,Finished,7 November 2020  1:03 PM,7 November 2020  1:15 PM,11.38,20.00,3.33,8.67,8.00
3802466.0,Finished,8 November 2020  10:47 PM,8 November 2020  10:51 PM,4.12,20.00,3.33,8.67,8.00
3671094.0,Finished,8 November 2020  8:55 PM,8 November 2020  9:24 PM,28.82,20.00,3.33,8.67,8.00
3803565.0,Finished,9 November 2020  12:52 AM,9 November 2020  1:18 AM,26.1,20.00,3.33,8.67,8.00
3670777.0,Finished,8 November 2020  8:06 PM,8 November 2020  8:20 PM,14.6,20.00,3.33,8.67,8.00
3802999.0,Finished,8 November 2020  10:13 PM,8 November 2020  10:18 PM,4.83,16.67,3.33,6.67,6.67
3700149.0,Finished,8 November 2020  8:36 PM,8 November 2020  8:41 PM,5.82,20.00,3.33,8.67,8.00
3670241.0,Finished,2 November 2020  9:35 PM,2 November 2020  10:06 PM,31.63,20.00,3.33,8.67,8.00
3802342.0,Finished,8 November 2020  9:33 PM,8 November 2020  9:50 PM,16.37,16.67,3.33,6.67,6.67
3803025.0,Finished,2 November 2020  11:39 PM,2 November 2020  11:59 PM,19.4,20.00,3.33,8.67,8.00
3971371.0,Finished,8 November 2020  6:10 PM,8 November 2020  7:02 PM,52.88,18.67,3.33,8.67,6.67
3800494.0,Finished,8 November 2020  12:21 AM,8 November 2020  12:42 AM,21.22,20.00,3.33,8.67,8.00
28507556.0,Finished,8 November 2020  6:07 PM,8 November 2020  6:53 PM,46.15,17.33,3.33,6.00,8.00
3413360.0,Finished,8 November 2020  5:23 PM,8 November 2020  6:12 PM,49.2,20.00,3.33,8.67,8.00
3702996.0,Finished,8 November 2020  6:41 PM,8 November 2020  7:50 PM,68.0,20.00,3.33,8.67,8.00
3802811.0,Finished,8 November 2020  1:03 AM,8 November 2020  1:09 AM,5.55,15.33,2.00,6.67,6.67
3801528.0,Finished,8 November 2020  7:45 PM,8 November 2020  9:10 PM,84.0,20.00,3.33,8.67,8.00
28716768.0,Finished,9 November 2020  8:24 AM,9 November 2020  9:50 AM,86.0,20.00,3.33,8.67,8.00
3802881.0,Finished,9 November 2020  8:40 AM,9 November 2020  8:57 AM,16.65,20.00,3.33,8.67,8.00
3803966.0,Finished,8 November 2020  4:36 PM,8 November 2020  4:55 PM,18.95,20.00,3.33,8.67,8.00
