ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /3.53,Q. 2 /2.94,Q. 3 /0.59,Q. 4 /0.59,Q. 5 /7.06,Q. 6 /1.18,Q. 7 /2.35,Q. 8 /1.76
3521310.0,Finished,25 September 2020  3:06 PM,25 September 2020  4:12 PM,66.0,11.76,1.76,0.59,0.00,0.00,7.06,1.18,0.59,0.59
3700288.0,Finished,27 September 2020  1:34 PM,27 September 2020  3:06 PM,91.0,9.41,1.76,1.18,0.00,0.00,3.53,1.18,1.18,0.59
3810883.0,Finished,21 September 2020  4:58 PM,21 September 2020  6:57 PM,119.0,14.12,0.00,1.76,0.59,0.00,7.06,1.18,2.35,1.18
3802927.0,Finished,28 September 2020  7:57 AM,28 September 2020  8:18 AM,20.92,19.41,3.53,2.94,0.59,0.59,7.06,1.18,2.35,1.18
3706553.0,Finished,27 September 2020  3:06 PM,27 September 2020  5:03 PM,117.0,9.41,1.76,0.59,0.59,0.00,3.53,1.18,1.18,0.59
3708951.0,Finished,27 September 2020  10:18 PM,27 September 2020  11:15 PM,56.63,15.88,3.53,2.94,0.00,0.00,7.06,1.18,0.59,0.59
3701943.0,Finished,27 September 2020  6:32 PM,27 September 2020  8:19 PM,107.0,15.29,2.94,2.35,0.59,0.00,7.06,1.18,0.59,0.59
3302425.0,Finished,22 September 2020  6:14 PM,22 September 2020  7:02 PM,48.13,4.71,0.59,0.59,0.59,0.00,-,1.18,1.18,0.59
3801875.0,Finished,27 September 2020  11:09 AM,27 September 2020  12:22 PM,73.0,15.29,1.76,2.35,0.59,0.00,7.06,1.18,1.18,1.18
3800455.0,Finished,26 September 2020  5:37 PM,26 September 2020  7:16 PM,99.0,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
3700584.0,Finished,27 September 2020  3:48 PM,27 September 2020  4:01 PM,12.28,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
3800333.0,Finished,24 September 2020  3:34 PM,24 September 2020  5:33 PM,118.0,11.76,0.00,0.00,0.59,0.59,7.06,1.18,1.76,0.59
3700463.0,Finished,28 September 2020  8:47 AM,28 September 2020  9:36 AM,49.02,12.35,1.18,2.35,0.00,0.00,7.06,1.18,0.59,0.00
3800411.0,Finished,23 September 2020  8:33 PM,23 September 2020  9:47 PM,74.0,16.47,2.94,1.76,0.59,0.59,7.06,1.18,1.76,0.59
3706539.0,Finished,21 September 2020  4:58 PM,21 September 2020  6:57 PM,119.0,14.71,0.00,1.76,0.59,0.59,7.06,1.18,2.35,1.18
28718098.0,Finished,28 October 2020  10:54 PM,28 October 2020  11:30 PM,35.87,18.82,3.53,2.94,0.59,0.59,7.06,0.00,2.35,1.76
3970876.0,Finished,28 September 2020  1:46 AM,28 September 2020  2:20 AM,34.9,19.41,3.53,2.94,0.59,0.59,7.06,1.18,2.35,1.18
3520680.0,Finished,27 September 2020  10:28 PM,27 September 2020  10:40 PM,12.0,16.47,1.76,2.94,0.59,0.59,7.06,1.18,1.76,0.59
3800042.0,Finished,27 September 2020  3:49 PM,27 September 2020  5:34 PM,104.0,13.53,2.35,1.76,0.59,-,7.06,0.00,1.76,-
3520431.0,Finished,23 September 2020  12:49 PM,23 September 2020  2:44 PM,114.0,16.47,3.53,2.94,0.00,-,7.06,1.18,0.59,1.18
3800417.0,Finished,23 September 2020  4:22 PM,23 September 2020  5:41 PM,78.0,16.47,3.53,2.94,0.59,0.00,7.06,1.18,0.59,0.59
3520375.0,Finished,26 September 2020  11:18 AM,26 September 2020  12:35 PM,76.0,11.18,0.59,0.59,0.00,0.00,7.06,1.18,0.59,1.18
3702742.0,Finished,27 September 2020  8:37 PM,27 September 2020  10:06 PM,88.0,18.24,3.53,2.94,0.59,0.00,7.06,1.18,2.35,0.59
3872455.0,Finished,27 September 2020  3:40 PM,27 September 2020  4:54 PM,74.0,18.82,2.94,2.94,0.59,0.59,7.06,1.18,2.35,1.18
