ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.11,Q. 2 /1.11,Q. 3 /1.11,Q. 4 /1.11,Q. 5 /0.56,Q. 6 /1.11,Q. 7 /1.11,Q. 8 /0.56,Q. 9 /1.11,Q. 10 /2.22,Q. 11 /5.56,Q. 12 /1.11,Q. 13 /2.22
28507548.0,Finished,14 December 2020  4:22 PM,14 December 2020  5:54 PM,92.0,7.50,1.11,1.11,1.11,0.00,0.28,0.00,1.11,0.00,0.00,0.00,2.78,0.00,0.00
3802696.0,Finished,18 December 2020  2:22 PM,18 December 2020  2:29 PM,6.92,3.33,1.11,1.11,1.11,0.00,-,-,-,0.00,0.00,0.00,-,0.00,-
28717951.0,Finished,17 December 2020  9:08 PM,17 December 2020  10:54 PM,105.0,13.79,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,0.00,4.90,1.11,0.00
3803521.0,Finished,18 December 2020  5:16 PM,18 December 2020  6:43 PM,87.0,17.27,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,5.05,1.11,0.00
3700288.0,Finished,18 December 2020  5:09 PM,18 December 2020  5:44 PM,35.38,10.76,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,2.22,0.20,0.00,-
3810883.0,Finished,18 December 2020  4:07 PM,18 December 2020  5:27 PM,79.0,16.67,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,2.22,2.78,1.11,2.22
3802927.0,Finished,18 December 2020  3:11 PM,18 December 2020  3:51 PM,40.0,16.69,1.11,1.11,1.11,1.11,0.28,0.56,1.11,0.56,1.11,2.22,5.30,1.11,0.00
3706553.0,Finished,18 December 2020  10:47 AM,18 December 2020  12:30 PM,102.0,16.74,0.56,1.11,1.11,1.11,0.28,0.00,1.11,0.56,0.00,2.22,5.35,1.11,2.22
3708951.0,Finished,16 December 2020  10:48 AM,16 December 2020  12:33 PM,105.0,10.96,1.11,1.11,1.11,-,0.56,0.56,1.11,0.00,1.11,-,4.29,-,-
28720090.0,Finished,18 December 2020  4:50 PM,18 December 2020  6:38 PM,107.0,6.21,1.11,1.11,1.11,0.00,0.00,0.00,1.11,0.56,-,0.00,1.21,0.00,0.00
3701943.0,Finished,18 December 2020  10:49 AM,18 December 2020  12:07 PM,78.0,16.79,1.11,1.11,1.11,1.11,0.28,0.56,1.11,0.56,1.11,2.22,5.40,1.11,0.00
3302425.0,Finished,20 December 2020  8:58 PM,20 December 2020  9:40 PM,41.77,19.09,0.56,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,5.20,1.11,2.22
3801875.0,Finished,18 December 2020  4:00 PM,18 December 2020  5:44 PM,103.0,15.56,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,3.33,1.11,0.00
3800455.0,Finished,16 December 2020  10:48 AM,16 December 2020  12:33 PM,105.0,13.08,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,0.00,1.41,1.11,2.22
3700584.0,Finished,18 December 2020  4:38 PM,18 December 2020  5:31 PM,53.02,16.14,1.11,1.11,1.11,1.11,0.28,0.00,1.11,0.56,1.11,2.22,5.30,1.11,0.00
3800333.0,Finished,14 December 2020  4:06 PM,14 December 2020  5:51 PM,104.0,12.37,1.11,1.11,1.11,0.00,0.56,0.56,1.11,0.56,0.00,0.00,5.15,1.11,0.00
3700463.0,Finished,18 December 2020  3:54 PM,18 December 2020  5:28 PM,93.0,16.84,1.11,1.11,1.11,0.00,0.28,0.00,1.11,0.56,1.11,2.22,4.90,1.11,2.22
3800411.0,Finished,16 December 2020  10:51 AM,16 December 2020  12:36 PM,105.0,11.82,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,0.00,3.48,0.00,0.00
3706539.0,Finished,18 December 2020  4:07 PM,18 December 2020  5:27 PM,79.0,16.72,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,2.22,2.83,1.11,2.22
28718098.0,Finished,17 December 2020  11:03 AM,17 December 2020  12:48 PM,105.0,8.28,1.11,1.11,0.56,-,0.56,0.56,1.11,0.56,1.11,0.00,1.62,-,-
28718098.0,Finished,17 December 2020  11:29 PM,18 December 2020  12:45 AM,75.0,12.58,1.11,1.11,1.11,0.00,0.56,0.56,1.11,0.56,1.11,0.00,5.35,0.00,0.00
3970876.0,Finished,18 December 2020  4:08 PM,18 December 2020  5:45 PM,96.0,17.47,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,5.25,1.11,0.00
3520680.0,Finished,18 December 2020  12:52 PM,18 December 2020  1:19 PM,27.67,16.14,1.11,1.11,1.11,1.11,0.28,0.00,1.11,0.56,1.11,2.22,5.30,1.11,0.00
3800042.0,Finished,18 December 2020  3:47 PM,18 December 2020  4:43 PM,55.45,17.15,1.11,1.11,1.11,1.11,0.28,1.11,1.11,0.56,1.11,2.22,5.20,1.11,0.00
3520431.0,Finished,16 December 2020  10:42 AM,16 December 2020  12:19 PM,97.0,12.58,1.11,1.11,1.11,1.11,0.56,-,1.11,0.56,0.00,0.00,4.80,1.11,0.00
3800417.0,Finished,17 December 2020  5:51 PM,17 December 2020  7:15 PM,83.0,10.51,1.11,1.11,1.11,0.00,0.56,1.11,1.11,0.00,0.00,0.00,4.39,0.00,0.00
3520375.0,Finished,17 December 2020  4:23 PM,17 December 2020  6:03 PM,99.0,12.58,1.11,1.11,1.11,-,0.56,0.56,1.11,0.56,0.00,0.00,5.35,1.11,0.00
3702742.0,Finished,18 December 2020  3:22 PM,18 December 2020  3:52 PM,29.65,14.47,1.11,1.11,1.11,1.11,0.28,0.56,1.11,0.56,1.11,0.00,5.30,1.11,0.00
3872455.0,Finished,18 December 2020  4:00 PM,18 December 2020  5:46 PM,105.0,10.66,1.11,1.11,1.11,0.00,0.00,0.56,1.11,0.56,0.00,2.22,2.88,0.00,0.00
3802719.0,Finished,18 December 2020  3:07 PM,18 December 2020  4:37 PM,89.0,9.60,1.11,1.11,1.11,0.00,0.56,0.00,1.11,0.56,0.00,2.22,1.82,0.00,0.00
3802466.0,Finished,14 December 2020  4:13 PM,14 December 2020  5:58 PM,105.0,6.82,1.11,1.11,1.11,0.00,0.00,0.56,1.11,0.56,0.00,0.00,1.26,0.00,0.00
3671094.0,Finished,18 December 2020  3:45 PM,18 December 2020  4:14 PM,28.95,16.49,1.11,1.11,1.11,1.11,0.28,0.56,1.11,0.56,1.11,2.22,5.10,1.11,0.00
3803565.0,Finished,18 December 2020  12:49 PM,18 December 2020  1:52 PM,63.0,15.71,1.11,1.11,1.11,1.11,0.00,0.00,1.11,0.56,1.11,2.22,5.15,1.11,0.00
3670777.0,Finished,18 December 2020  5:40 PM,18 December 2020  5:45 PM,5.33,11.59,0.56,0.56,1.11,1.11,0.28,0.56,1.11,0.56,1.11,2.22,1.31,1.11,0.00
3702385.0,Finished,18 December 2020  12:35 PM,18 December 2020  2:20 PM,105.0,16.36,1.11,1.11,1.11,1.11,0.00,0.56,1.11,0.56,1.11,2.22,5.25,1.11,0.00
3802999.0,Finished,18 December 2020  10:34 AM,18 December 2020  11:24 AM,50.33,10.51,1.11,1.11,1.11,0.00,0.56,0.56,1.11,0.56,0.00,0.00,4.39,0.00,0.00
3700149.0,Finished,18 December 2020  4:24 PM,18 December 2020  4:41 PM,17.1,16.69,1.11,1.11,1.11,1.11,0.28,0.56,1.11,0.56,1.11,2.22,5.30,1.11,0.00
3802342.0,Finished,17 December 2020  5:52 PM,17 December 2020  7:15 PM,83.0,10.96,1.11,1.11,1.11,0.00,0.56,1.11,1.11,0.56,0.00,0.00,4.29,0.00,0.00
3803025.0,Finished,18 December 2020  5:23 PM,18 December 2020  7:01 PM,97.0,19.29,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.56,2.22,5.40,1.11,2.22
3800494.0,Finished,16 December 2020  10:56 AM,16 December 2020  12:40 PM,104.0,15.35,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.00,1.11,2.22,5.35,0.00,0.00
28507556.0,Finished,16 December 2020  10:31 AM,16 December 2020  12:16 PM,105.0,12.07,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.56,0.00,3.18,1.11,0.00
3413360.0,Finished,17 December 2020  2:54 PM,17 December 2020  3:49 PM,55.47,6.26,1.11,1.11,1.11,-,0.56,0.56,1.11,0.56,0.00,0.00,0.15,0.00,-
3971280.0,Finished,18 December 2020  10:54 AM,18 December 2020  12:09 PM,75.0,16.39,1.11,1.11,1.11,1.11,0.28,0.56,1.11,0.56,1.11,2.22,5.00,1.11,0.00
3801528.0,Finished,18 December 2020  1:39 PM,18 December 2020  2:25 PM,45.68,17.25,1.11,1.11,1.11,1.11,0.28,1.11,1.11,0.56,1.11,2.22,5.30,1.11,0.00
28716768.0,Finished,16 December 2020  10:48 AM,16 December 2020  12:33 PM,104.0,14.14,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.56,2.22,3.03,1.11,0.00
3802881.0,Finished,17 December 2020  10:57 AM,17 December 2020  12:42 PM,105.0,13.23,1.11,1.11,1.11,-,0.56,1.11,0.00,0.56,1.11,0.00,3.23,1.11,2.22
3803966.0,Finished,14 December 2020  5:01 PM,14 December 2020  6:46 PM,104.0,9.39,1.11,1.11,1.11,1.11,0.00,0.56,1.11,0.56,0.00,0.00,2.73,0.00,0.00
3709095.0,Finished,16 December 2020  11:25 AM,16 December 2020  12:28 PM,63.0,11.46,0.56,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,3.69,1.11,0.00
3704090.0,Finished,18 December 2020  10:40 AM,18 December 2020  12:10 PM,89.0,10.23,1.11,1.11,1.11,0.00,0.28,0.56,1.11,0.56,0.00,0.00,4.39,0.00,0.00
28718372.0,Finished,18 December 2020  1:02 PM,18 December 2020  2:12 PM,69.0,15.76,0.56,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.56,2.22,5.20,1.11,0.00
3302184.0,Finished,18 December 2020  4:12 PM,18 December 2020  5:37 PM,85.0,19.55,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,5.10,1.11,2.22
3802410.0,Finished,18 December 2020  4:24 PM,18 December 2020  4:42 PM,17.82,17.30,1.11,1.11,1.11,1.11,0.28,1.11,1.11,0.56,1.11,2.22,5.35,1.11,0.00
3802713.0,Finished,18 December 2020  12:58 PM,18 December 2020  2:42 PM,104.0,10.56,1.11,1.11,1.11,-,0.56,0.56,1.11,0.56,0.00,2.22,2.22,0.00,0.00
3521322.0,Finished,18 December 2020  10:48 AM,18 December 2020  12:07 PM,79.0,11.77,1.11,1.11,1.11,1.11,0.56,0.00,1.11,0.56,0.00,0.00,3.99,1.11,0.00
28616887.0,Finished,21 January 2021  5:44 PM,21 January 2021  5:53 PM,9.53,12.93,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.00,1.11,0.00,5.15,0.00,0.00
3700530.0,Finished,16 December 2020  10:49 AM,16 December 2020  12:33 PM,103.0,14.70,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.00,1.11,0.00,3.59,1.11,2.22
3800103.0,Finished,18 December 2020  4:00 PM,18 December 2020  5:30 PM,89.0,12.90,1.11,1.11,1.11,1.11,0.28,0.56,1.11,0.00,0.00,2.22,3.18,1.11,0.00
3700640.0,Finished,18 December 2020  4:55 PM,18 December 2020  5:45 PM,49.53,19.60,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,5.15,1.11,2.22
