ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67
3801875.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,8.95,4.82,1.35,2.78
3800455.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,14.01,6.67,5.12,2.22
3700584.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,13.75,6.51,5.02,2.22
3800333.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,13.33,6.67,4.44,2.22
3700463.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,11.05,5.30,2.42,3.33
3800411.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,9.29,2.89,4.73,1.67
3407716.0,Finished,16 November 2020  10:52 AM,16 November 2020  12:12 PM,79.0,11.31,6.18,5.12,-
3706539.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,11.46,5.06,4.73,1.67
28718098.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,13.62,6.59,4.25,2.78
3970876.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,11.72,5.94,3.00,2.78
3520680.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,103.0,12.19,5.62,4.35,2.22
3800042.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:28 PM,103.0,10.53,5.94,3.48,1.11
3520431.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:28 PM,103.0,11.04,5.22,4.15,1.67
3800417.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,11.89,4.74,4.93,2.22
3520375.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:25 PM,100.0,12.52,6.02,4.83,1.67
3702742.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,12.17,6.35,4.15,1.67
3872455.0,Finished,16 November 2020  10:46 AM,16 November 2020  12:31 PM,105.0,11.09,5.70,4.83,0.56
3800075.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,2.40,1.04,1.35,-
3802719.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,11.15,5.78,4.25,1.11
3802466.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,10.30,5.06,3.57,1.67
3671094.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,9.36,6.35,1.35,1.67
3803565.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,9.10,5.62,3.48,0.00
3670777.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,14.50,6.51,5.22,2.78
3702385.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,9.31,5.54,3.77,-
3802999.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,11.43,4.74,5.02,1.67
3700149.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,11.51,6.59,4.93,0.00
3670241.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,11.30,6.10,2.42,2.78
3802342.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,7.25,4.74,2.51,0.00
3803025.0,Finished,16 November 2020  10:46 AM,16 November 2020  12:31 PM,105.0,12.38,4.58,5.02,2.78
3971371.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:50 PM,125.0,12.92,6.35,4.35,2.22
3800494.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,10.95,6.27,3.57,1.11
28507556.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,9.62,5.46,4.15,0.00
3413360.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,103.0,12.39,5.22,5.51,1.67
