State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.65,Q. 2 /5.16,Q. 3 /1.29,Q. 4 /3.87,Q. 5 /3.87,Q. 6 /2.58,Q. 7 /2.58
Finished,27 September 2022  8:36 AM,27 September 2022  9:11 AM,35,12.26,0.65,2.58,0.00,0.00,3.87,2.58,2.58
Finished,27 September 2022  4:16 PM,27 September 2022  5:55 PM,98,20.00,0.65,5.16,1.29,3.87,3.87,2.58,2.58
Finished,27 September 2022  7:09 PM,27 September 2022  7:59 PM,50,14.19,0.00,5.16,0.00,1.29,3.87,1.94,1.94
Finished,28 September 2022  8:58 AM,28 September 2022  9:36 AM,38,17.42,0.00,3.87,1.29,3.87,3.87,1.94,2.58
Finished,28 September 2022  9:10 AM,28 September 2022  10:26 AM,76,9.03,0.65,2.58,0.00,0.00,0.65,2.58,2.58
Finished,28 September 2022  10:21 AM,28 September 2022  10:26 AM,5,9.03,0.65,2.58,0.00,0.00,0.65,2.58,2.58
Finished,28 September 2022  11:17 AM,28 September 2022  12:23 PM,65,13.55,0.65,2.58,0.00,1.29,3.87,2.58,2.58
Finished,28 September 2022  4:16 PM,28 September 2022  5:31 PM,75,17.42,0.65,2.58,1.29,3.87,3.87,2.58,2.58
Finished,28 September 2022  4:18 PM,28 September 2022  5:27 PM,69,17.42,0.65,2.58,1.29,3.87,3.87,2.58,2.58
Finished,28 September 2022  5:22 PM,28 September 2022  5:28 PM,6,17.42,0.65,2.58,1.29,3.87,3.87,2.58,2.58
Finished,29 September 2022  12:26 AM,29 September 2022  1:31 AM,65,18.71,0.65,5.16,0.00,3.87,3.87,2.58,2.58
Finished,29 September 2022  1:16 AM,29 September 2022  2:19 AM,63,14.19,0.65,5.16,0.00,0.00,3.23,2.58,2.58
Finished,29 September 2022  8:49 AM,29 September 2022  9:55 AM,66,20.00,0.65,5.16,1.29,3.87,3.87,2.58,2.58
Finished,29 September 2022  10:10 AM,29 September 2022  10:53 AM,43,14.84,0.65,5.16,0.00,0.00,3.87,2.58,2.58
Finished,29 September 2022  10:11 AM,29 September 2022  10:51 AM,40,14.84,0.65,5.16,0.00,0.00,3.87,2.58,2.58
Finished,29 September 2022  1:05 PM,29 September 2022  2:13 PM,67,12.26,0.65,2.58,0.00,0.00,3.87,2.58,2.58
Finished,29 September 2022  2:25 PM,29 September 2022  3:05 PM,40,17.42,0.65,2.58,1.29,3.87,3.87,2.58,2.58
Finished,29 September 2022  2:25 PM,29 September 2022  4:25 PM,120,17.42,0.65,2.58,1.29,3.87,3.87,2.58,2.58
