State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /5.00,Q. 3 /5.00,Q. 4 /5.00
Finished,26 November 2022  9:34 AM,26 November 2022  11:34 AM,2 hours,15.56,3.89,5.00,2.50,4.17
Finished,26 November 2022  10:13 AM,26 November 2022  11:36 AM,1 hour 22 mins,11.39,3.89,3.33,0.00,4.17
Finished,26 November 2022  10:16 AM,26 November 2022  10:53 AM,37 mins 33 secs,17.50,5.00,5.00,2.50,5.00
Finished,26 November 2022  10:38 AM,26 November 2022  11:49 AM,1 hour 11 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  10:43 AM,26 November 2022  11:54 AM,1 hour 10 mins,12.22,3.89,1.67,2.50,4.17
Finished,26 November 2022  10:44 AM,26 November 2022  11:55 AM,1 hour 11 mins,12.22,3.89,1.67,2.50,4.17
Finished,26 November 2022  10:44 AM,26 November 2022  11:56 AM,1 hour 11 mins,9.72,3.89,1.67,0.00,4.17
Finished,26 November 2022  10:44 AM,26 November 2022  11:51 AM,1 hour 7 mins,13.33,5.00,1.67,2.50,4.17
Finished,26 November 2022  10:46 AM,26 November 2022  11:54 AM,1 hour 7 mins,13.33,5.00,1.67,2.50,4.17
Finished,26 November 2022  10:53 AM,26 November 2022  12:13 PM,1 hour 19 mins,10.28,2.78,3.33,2.50,1.67
Finished,26 November 2022  10:55 AM,26 November 2022  12:22 PM,1 hour 26 mins,10.83,2.50,1.67,2.50,4.17
Finished,26 November 2022  11:08 AM,26 November 2022  1:08 PM,2 hours,16.67,5.00,5.00,2.50,4.17
Finished,26 November 2022  11:29 AM,26 November 2022  1:04 PM,1 hour 35 mins,14.44,4.44,3.33,2.50,4.17
Finished,26 November 2022  11:39 AM,26 November 2022  1:37 PM,1 hour 57 mins,14.72,4.72,3.33,2.50,4.17
Finished,26 November 2022  11:43 AM,26 November 2022  1:08 PM,1 hour 25 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  11:43 AM,26 November 2022  1:30 PM,1 hour 46 mins,9.44,3.61,1.67,2.50,1.67
