State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
Finished,29 October 2022  12:21 PM,29 October 2022  12:47 PM,26,16.00,16.00
Finished,29 October 2022  12:26 PM,29 October 2022  1:00 PM,33,16.00,16.00
Finished,29 October 2022  12:39 PM,29 October 2022  12:43 PM,3,20.00,20.00
Finished,29 October 2022  12:43 PM,29 October 2022  12:53 PM,10,19.33,19.33
Finished,29 October 2022  12:47 PM,29 October 2022  1:11 PM,24,20.00,20.00
Finished,29 October 2022  12:50 PM,29 October 2022  1:07 PM,17,18.00,18.00
Finished,29 October 2022  12:51 PM,29 October 2022  1:13 PM,22,17.33,17.33
Finished,29 October 2022  12:54 PM,29 October 2022  1:10 PM,16,16.00,16.00
Finished,29 October 2022  12:54 PM,29 October 2022  1:11 PM,17,18.67,18.67
Finished,29 October 2022  12:58 PM,29 October 2022  2:42 PM,103,20.00,20.00
Finished,29 October 2022  12:58 PM,29 October 2022  2:58 PM,120,17.33,17.33
Finished,29 October 2022  12:59 PM,29 October 2022  1:35 PM,36,17.33,17.33
Finished,29 October 2022  1:06 PM,29 October 2022  1:40 PM,34,11.33,11.33
Finished,29 October 2022  1:06 PM,29 October 2022  1:28 PM,22,20.00,20.00
Finished,29 October 2022  1:15 PM,29 October 2022  1:38 PM,23,20.00,20.00
Finished,29 October 2022  1:17 PM,29 October 2022  2:49 PM,91,20.00,20.00
Finished,29 October 2022  1:21 PM,29 October 2022  2:16 PM,55,20.00,20.00
Finished,29 October 2022  1:39 PM,29 October 2022  2:07 PM,28,16.00,16.00
Finished,29 October 2022  1:41 PM,29 October 2022  2:14 PM,33,16.00,16.00
Finished,29 October 2022  1:43 PM,29 October 2022  1:54 PM,12,20.00,20.00
Finished,29 October 2022  1:44 PM,29 October 2022  2:46 PM,62,16.67,16.67
Finished,29 October 2022  1:44 PM,29 October 2022  2:08 PM,24,20.00,20.00
Finished,29 October 2022  1:47 PM,29 October 2022  1:53 PM,6,18.67,18.67
Finished,29 October 2022  2:00 PM,29 October 2022  4:00 PM,120,20.00,20.00
Finished,29 October 2022  2:00 PM,29 October 2022  2:15 PM,15,20.00,20.00
Finished,29 October 2022  2:06 PM,29 October 2022  3:25 PM,78,20.00,20.00
Finished,29 October 2022  2:07 PM,29 October 2022  3:32 PM,85,20.00,20.00
Finished,29 October 2022  2:09 PM,29 October 2022  2:21 PM,12,20.00,20.00
Finished,29 October 2022  2:16 PM,29 October 2022  2:46 PM,30,20.00,20.00
Finished,29 October 2022  2:17 PM,29 October 2022  2:59 PM,42,16.67,16.67
Finished,29 October 2022  2:37 PM,29 October 2022  3:29 PM,52,17.33,17.33
Finished,29 October 2022  2:44 PM,29 October 2022  2:59 PM,16,18.67,18.67
Finished,29 October 2022  2:45 PM,29 October 2022  2:52 PM,8,20.00,20.00
Finished,29 October 2022  2:51 PM,29 October 2022  4:12 PM,81,18.00,18.00
Finished,29 October 2022  2:53 PM,29 October 2022  4:24 PM,91,18.67,18.67
Finished,29 October 2022  3:00 PM,29 October 2022  3:26 PM,26,20.00,20.00
Finished,29 October 2022  3:02 PM,29 October 2022  3:48 PM,47,11.33,11.33
Finished,29 October 2022  3:02 PM,29 October 2022  3:48 PM,46,12.00,12.00
Finished,29 October 2022  3:02 PM,29 October 2022  3:47 PM,45,12.67,12.67
Finished,29 October 2022  3:02 PM,29 October 2022  4:34 PM,91,15.33,15.33
