State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
Finished,14 November 2022  12:53 PM,14 November 2022  1:50 PM,57.35,9.38,9.38
Finished,14 November 2022  12:56 PM,14 November 2022  1:47 PM,50.52,20.00,20.00
Finished,14 November 2022  12:56 PM,14 November 2022  1:47 PM,50.47,19.38,19.38
Finished,14 November 2022  7:21 PM,14 November 2022  7:46 PM,25.12,13.75,13.75
Finished,15 November 2022  8:37 AM,15 November 2022  9:26 AM,48.52,13.13,13.13
Finished,15 November 2022  11:08 AM,15 November 2022  11:58 AM,49.32,10.00,10.00
Finished,15 November 2022  3:15 PM,15 November 2022  5:02 PM,106.0,15.63,15.63
Finished,15 November 2022  3:59 PM,15 November 2022  4:19 PM,20.0,12.50,12.50
Finished,15 November 2022  9:46 PM,15 November 2022  10:59 PM,72.0,13.13,13.13
Finished,15 November 2022  9:50 PM,15 November 2022  10:57 PM,67.0,12.50,12.50
Finished,16 November 2022  10:29 AM,16 November 2022  10:37 AM,7.95,0.00,-
Finished,16 November 2022  11:29 AM,16 November 2022  12:23 PM,53.92,20.00,20.00
Finished,16 November 2022  1:50 PM,16 November 2022  2:08 PM,18.07,20.00,20.00
Finished,16 November 2022  1:59 PM,16 November 2022  3:18 PM,79.0,15.63,15.63
Finished,16 November 2022  2:08 PM,16 November 2022  2:12 PM,3.98,20.00,20.00
Finished,16 November 2022  2:23 PM,16 November 2022  4:23 PM,120.0,14.38,14.38
Finished,16 November 2022  2:23 PM,16 November 2022  3:25 PM,62.0,13.75,13.75
Finished,16 November 2022  3:58 PM,16 November 2022  5:58 PM,120.0,0.00,-
Finished,16 November 2022  5:30 PM,16 November 2022  6:44 PM,74.0,13.13,13.13
Finished,16 November 2022  5:32 PM,16 November 2022  6:24 PM,51.93,12.50,12.50
Finished,16 November 2022  5:33 PM,16 November 2022  6:17 PM,44.25,12.50,12.50
Finished,16 November 2022  5:54 PM,16 November 2022  7:10 PM,76.0,15.00,15.00
Finished,16 November 2022  6:33 PM,16 November 2022  7:18 PM,44.47,12.50,12.50
Finished,16 November 2022  7:02 PM,16 November 2022  7:51 PM,48.47,10.00,10.00
Finished,16 November 2022  7:02 PM,16 November 2022  7:50 PM,48.27,10.00,10.00
Finished,16 November 2022  7:03 PM,16 November 2022  7:45 PM,42.22,10.00,10.00
Finished,16 November 2022  7:33 PM,16 November 2022  8:52 PM,79.0,20.00,20.00
Finished,16 November 2022  8:06 PM,16 November 2022  9:25 PM,79.0,18.13,18.13
Finished,16 November 2022  9:44 PM,16 November 2022  10:22 PM,37.8,11.25,11.25
Finished,17 November 2022  9:12 AM,17 November 2022  9:48 AM,36.27,13.75,13.75
Finished,17 November 2022  2:42 PM,17 November 2022  3:45 PM,63.0,15.00,15.00
Finished,17 November 2022  2:52 PM,17 November 2022  3:41 PM,48.32,20.00,20.00
Finished,17 November 2022  2:52 PM,17 November 2022  3:41 PM,48.3,13.13,13.13
Finished,17 November 2022  3:39 PM,17 November 2022  4:35 PM,55.67,14.38,14.38
Finished,17 November 2022  3:41 PM,17 November 2022  4:14 PM,33.32,13.75,13.75
Finished,17 November 2022  3:42 PM,17 November 2022  5:42 PM,120.0,14.38,14.38
Finished,17 November 2022  3:43 PM,17 November 2022  4:31 PM,48.42,14.38,14.38
Finished,17 November 2022  3:44 PM,17 November 2022  4:14 PM,30.67,15.00,15.00
Finished,17 November 2022  5:45 PM,17 November 2022  6:20 PM,35.2,13.75,13.75
Finished,17 November 2022  7:00 PM,17 November 2022  8:45 PM,105.0,13.75,13.75
Finished,17 November 2022  7:00 PM,17 November 2022  8:03 PM,62.0,17.50,17.50
Finished,17 November 2022  7:02 PM,17 November 2022  8:53 PM,110.0,13.75,13.75
Finished,17 November 2022  7:05 PM,17 November 2022  8:44 PM,99.0,14.38,14.38
Finished,17 November 2022  7:59 PM,17 November 2022  8:05 PM,6.45,17.50,17.50
Finished,17 November 2022  8:42 PM,17 November 2022  10:34 PM,112.0,13.75,13.75
Finished,17 November 2022  9:06 PM,17 November 2022  9:43 PM,37.12,11.25,11.25
Finished,17 November 2022  9:16 PM,17 November 2022  10:22 PM,66.0,14.38,14.38
Finished,17 November 2022  9:22 PM,17 November 2022  10:19 PM,57.1,15.63,15.63
Finished,17 November 2022  9:22 PM,17 November 2022  10:19 PM,56.67,14.38,14.38
Finished,17 November 2022  9:53 PM,17 November 2022  10:01 PM,8.6,13.13,13.13
Finished,17 November 2022  10:38 PM,17 November 2022  11:13 PM,35.58,19.38,19.38
Finished,17 November 2022  10:44 PM,17 November 2022  11:58 PM,74.0,15.63,15.63
Finished,17 November 2022  10:57 PM,17 November 2022  11:58 PM,60.0,12.50,12.50
Finished,18 November 2022  9:03 AM,18 November 2022  10:15 AM,72.0,14.38,14.38
Finished,18 November 2022  10:27 AM,18 November 2022  11:22 AM,54.73,16.25,16.25
Finished,18 November 2022  11:01 AM,18 November 2022  12:47 PM,106.0,14.38,14.38
Finished,18 November 2022  11:50 AM,18 November 2022  12:27 PM,37.48,14.38,14.38
Finished,18 November 2022  12:44 PM,18 November 2022  1:00 PM,15.35,5.00,5.00
Finished,18 November 2022  5:43 PM,18 November 2022  6:15 PM,31.62,13.13,13.13
Finished,18 November 2022  6:09 PM,18 November 2022  8:06 PM,116.0,15.63,15.63
Finished,18 November 2022  6:09 PM,18 November 2022  8:00 PM,110.0,15.63,15.63
Finished,18 November 2022  6:19 PM,18 November 2022  6:55 PM,36.12,15.00,15.00
Finished,18 November 2022  6:19 PM,18 November 2022  6:45 PM,26.13,14.38,14.38
Finished,18 November 2022  7:47 PM,18 November 2022  8:41 PM,54.3,8.75,8.75
Finished,18 November 2022  8:44 PM,18 November 2022  9:01 PM,16.47,15.00,15.00
Finished,18 November 2022  10:31 PM,18 November 2022  11:02 PM,30.57,15.00,15.00
Finished,18 November 2022  10:37 PM,18 November 2022  11:06 PM,28.4,14.38,14.38
Finished,19 November 2022  12:10 AM,19 November 2022  12:34 AM,23.53,13.13,13.13
Finished,19 November 2022  12:11 AM,19 November 2022  12:34 AM,23.48,13.13,13.13
Finished,19 November 2022  12:06 PM,19 November 2022  12:30 PM,24.08,14.38,14.38
Finished,19 November 2022  12:18 PM,19 November 2022  12:24 PM,6.27,13.13,13.13
Finished,19 November 2022  4:19 PM,19 November 2022  4:45 PM,25.47,19.38,19.38
Finished,19 November 2022  4:28 PM,19 November 2022  5:30 PM,61.0,14.38,14.38
Finished,19 November 2022  4:29 PM,19 November 2022  4:38 PM,8.5,11.25,11.25
Finished,19 November 2022  4:31 PM,19 November 2022  5:15 PM,44.3,13.75,13.75
Finished,19 November 2022  4:36 PM,19 November 2022  5:30 PM,54.52,14.38,14.38
Finished,19 November 2022  4:43 PM,19 November 2022  5:11 PM,28.18,15.00,15.00
Finished,19 November 2022  4:43 PM,19 November 2022  5:10 PM,26.8,10.63,10.63
Finished,19 November 2022  4:47 PM,19 November 2022  5:21 PM,33.97,13.75,13.75
Finished,19 November 2022  4:49 PM,19 November 2022  5:12 PM,23.25,14.38,14.38
Finished,19 November 2022  4:52 PM,19 November 2022  5:57 PM,64.0,14.38,14.38
Finished,19 November 2022  5:00 PM,19 November 2022  6:17 PM,77.0,6.88,6.88
Finished,19 November 2022  5:17 PM,19 November 2022  7:17 PM,120.0,12.50,12.50
Finished,19 November 2022  5:44 PM,19 November 2022  7:37 PM,113.0,13.13,13.13
Finished,19 November 2022  5:51 PM,19 November 2022  6:50 PM,59.2,10.00,10.00
Finished,19 November 2022  9:36 PM,19 November 2022  10:33 PM,56.95,11.25,11.25
Finished,19 November 2022  10:23 PM,19 November 2022  10:54 PM,30.87,14.38,14.38
Finished,19 November 2022  10:52 PM,19 November 2022  11:10 PM,18.53,16.25,16.25
Finished,19 November 2022  11:08 PM,20 November 2022  12:42 AM,93.0,15.00,15.00
Finished,19 November 2022  11:08 PM,19 November 2022  11:36 PM,28.1,14.38,14.38
Finished,19 November 2022  11:48 PM,20 November 2022  12:45 AM,57.03,16.25,16.25
Finished,20 November 2022  12:18 AM,20 November 2022  2:18 AM,120.0,15.63,15.63
Finished,20 November 2022  12:19 AM,20 November 2022  12:47 AM,28.47,15.00,15.00
Finished,20 November 2022  12:19 AM,20 November 2022  2:19 AM,120.0,15.63,15.63
Finished,20 November 2022  12:39 AM,20 November 2022  12:59 AM,20.42,14.38,14.38
Finished,20 November 2022  5:23 AM,20 November 2022  6:14 AM,50.55,12.50,12.50
Finished,20 November 2022  7:55 AM,20 November 2022  9:55 AM,120.0,11.25,11.25
Finished,20 November 2022  7:57 AM,20 November 2022  8:46 AM,49.98,14.38,14.38
Finished,20 November 2022  9:47 AM,20 November 2022  10:30 AM,42.35,13.13,13.13
Finished,20 November 2022  9:48 AM,20 November 2022  10:31 AM,42.9,19.38,19.38
Finished,20 November 2022  10:07 AM,20 November 2022  10:51 AM,43.23,13.13,13.13
Finished,20 November 2022  10:08 AM,20 November 2022  10:54 AM,46.53,13.75,13.75
Finished,20 November 2022  10:13 AM,20 November 2022  10:51 AM,37.52,13.13,13.13
Finished,20 November 2022  10:21 AM,20 November 2022  11:16 AM,54.75,14.38,14.38
Finished,20 November 2022  10:30 AM,20 November 2022  12:08 PM,97.0,13.75,13.75
Finished,20 November 2022  10:32 AM,20 November 2022  10:54 AM,21.77,13.75,13.75
Finished,20 November 2022  10:47 AM,20 November 2022  11:29 AM,42.35,12.50,12.50
Finished,20 November 2022  10:49 AM,20 November 2022  11:14 AM,25.73,11.88,11.88
Finished,20 November 2022  10:59 AM,20 November 2022  11:23 AM,23.52,13.75,13.75
Finished,20 November 2022  11:31 AM,20 November 2022  1:06 PM,94.0,18.75,18.75
Finished,20 November 2022  11:37 AM,20 November 2022  12:18 PM,40.77,18.75,18.75
Finished,20 November 2022  11:38 AM,20 November 2022  12:27 PM,48.98,17.50,17.50
Finished,20 November 2022  11:54 AM,20 November 2022  12:16 PM,21.6,10.00,10.00
Finished,20 November 2022  12:08 PM,20 November 2022  12:49 PM,40.37,20.00,20.00
Finished,20 November 2022  12:08 PM,20 November 2022  12:49 PM,40.48,20.00,20.00
Finished,20 November 2022  12:23 PM,20 November 2022  1:31 PM,68.0,15.63,15.63
Finished,20 November 2022  12:30 PM,20 November 2022  2:30 PM,120.0,20.00,20.00
Finished,20 November 2022  12:31 PM,20 November 2022  1:55 PM,84.0,11.88,11.88
Finished,20 November 2022  12:38 PM,20 November 2022  1:06 PM,27.17,13.13,13.13
Finished,20 November 2022  12:43 PM,20 November 2022  2:25 PM,102.0,13.75,13.75
Finished,20 November 2022  1:31 PM,20 November 2022  2:29 PM,57.93,15.00,15.00
Finished,20 November 2022  2:05 PM,20 November 2022  2:56 PM,51.37,13.13,13.13
Finished,20 November 2022  2:15 PM,20 November 2022  3:19 PM,63.0,9.38,9.38
Finished,20 November 2022  2:21 PM,20 November 2022  3:53 PM,92.0,13.75,13.75
Finished,20 November 2022  2:26 PM,20 November 2022  3:01 PM,35.55,17.50,17.50
Finished,20 November 2022  2:28 PM,20 November 2022  3:03 PM,34.47,18.13,18.13
Finished,20 November 2022  2:46 PM,20 November 2022  3:49 PM,62.0,13.13,13.13
Finished,20 November 2022  2:55 PM,20 November 2022  4:55 PM,120.0,14.38,14.38
Finished,20 November 2022  2:55 PM,20 November 2022  4:18 PM,82.0,13.13,13.13
Finished,20 November 2022  3:02 PM,20 November 2022  3:50 PM,48.32,13.75,13.75
Finished,20 November 2022  3:03 PM,20 November 2022  3:26 PM,23.18,17.50,17.50
Finished,20 November 2022  3:06 PM,20 November 2022  4:49 PM,103.0,10.63,10.63
Finished,20 November 2022  3:07 PM,20 November 2022  3:42 PM,35.12,15.63,15.63
Finished,20 November 2022  3:19 PM,20 November 2022  5:19 PM,120.0,13.75,13.75
Finished,20 November 2022  3:22 PM,20 November 2022  4:49 PM,86.0,13.13,13.13
Finished,20 November 2022  3:22 PM,20 November 2022  4:38 PM,75.0,15.00,15.00
Finished,20 November 2022  3:25 PM,20 November 2022  3:55 PM,29.22,13.13,13.13
Finished,20 November 2022  3:35 PM,20 November 2022  3:59 PM,23.4,20.00,20.00
Finished,20 November 2022  3:38 PM,20 November 2022  5:38 PM,120.0,20.00,20.00
Finished,20 November 2022  3:44 PM,20 November 2022  5:44 PM,119.0,15.00,15.00
Finished,20 November 2022  3:45 PM,20 November 2022  4:11 PM,26.38,13.75,13.75
Finished,20 November 2022  3:47 PM,20 November 2022  5:47 PM,120.0,16.88,16.88
Finished,20 November 2022  3:50 PM,20 November 2022  4:02 PM,12.4,15.63,15.63
Finished,20 November 2022  3:50 PM,20 November 2022  4:39 PM,48.82,11.25,11.25
Finished,20 November 2022  3:55 PM,20 November 2022  5:55 PM,120.0,13.75,13.75
Finished,20 November 2022  3:56 PM,20 November 2022  5:51 PM,115.0,13.75,13.75
Finished,20 November 2022  3:56 PM,20 November 2022  4:55 PM,59.6,15.63,15.63
Finished,20 November 2022  3:58 PM,20 November 2022  4:31 PM,32.02,12.50,12.50
Finished,20 November 2022  3:59 PM,20 November 2022  4:09 PM,9.68,14.38,14.38
Finished,20 November 2022  4:00 PM,20 November 2022  4:12 PM,12.05,15.00,15.00
Finished,20 November 2022  4:00 PM,20 November 2022  6:00 PM,120.0,12.50,12.50
Finished,20 November 2022  4:01 PM,20 November 2022  4:36 PM,34.67,10.00,10.00
Finished,20 November 2022  4:08 PM,20 November 2022  6:08 PM,120.0,13.75,13.75
Finished,20 November 2022  4:09 PM,20 November 2022  5:34 PM,85.0,12.50,12.50
Finished,20 November 2022  4:09 PM,20 November 2022  4:50 PM,40.97,13.75,13.75
Finished,20 November 2022  4:11 PM,20 November 2022  4:31 PM,20.3,16.88,16.88
Finished,20 November 2022  4:11 PM,20 November 2022  5:28 PM,76.0,20.00,20.00
Finished,20 November 2022  4:17 PM,20 November 2022  6:14 PM,117.0,13.13,13.13
Finished,20 November 2022  4:18 PM,20 November 2022  6:06 PM,108.0,13.13,13.13
Finished,20 November 2022  4:18 PM,20 November 2022  6:18 PM,120.0,13.13,13.13
Finished,20 November 2022  4:21 PM,20 November 2022  4:29 PM,8.35,9.38,9.38
Finished,20 November 2022  4:22 PM,20 November 2022  4:32 PM,10.0,15.00,15.00
Finished,20 November 2022  4:24 PM,20 November 2022  6:24 PM,120.0,13.13,13.13
Finished,20 November 2022  4:25 PM,20 November 2022  5:01 PM,36.12,11.88,11.88
Finished,20 November 2022  4:26 PM,20 November 2022  4:52 PM,26.25,13.75,13.75
Finished,20 November 2022  4:28 PM,20 November 2022  6:28 PM,120.0,15.00,15.00
