ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
28708645.0,Finished,29 November 2022  9:31 AM,29 November 2022  10:18 AM,47.77,11.43,11.43
3700119.0,Finished,29 November 2022  10:03 AM,29 November 2022  11:53 AM,109.0,12.38,12.38
28604542.0,Finished,29 November 2022  10:03 AM,29 November 2022  11:53 AM,109.0,12.38,12.38
21214576.0,Finished,29 November 2022  3:27 PM,29 November 2022  3:55 PM,27.85,14.29,14.29
28709878.0,Finished,29 November 2022  6:19 PM,29 November 2022  7:30 PM,71.0,12.38,12.38
28626439.0,Finished,30 November 2022  11:45 AM,30 November 2022  1:45 PM,120.0,0.00,-
28620133.0,Finished,30 November 2022  12:56 PM,30 November 2022  1:07 PM,10.88,14.29,14.29
3804605.0,Finished,30 November 2022  4:58 PM,30 November 2022  5:51 PM,53.72,18.10,18.10
28738728.0,Finished,1 December 2022  10:59 AM,1 December 2022  11:59 AM,60.0,15.71,15.71
28706128.0,Finished,1 December 2022  3:05 PM,1 December 2022  3:55 PM,49.77,14.29,14.29
28706456.0,Finished,1 December 2022  3:05 PM,1 December 2022  3:51 PM,45.07,14.29,14.29
28701368.0,Finished,1 December 2022  3:08 PM,1 December 2022  3:52 PM,43.88,12.38,12.38
28700380.0,Finished,1 December 2022  3:08 PM,1 December 2022  3:52 PM,43.7,17.62,17.62
28624266.0,Finished,1 December 2022  3:08 PM,1 December 2022  3:52 PM,43.37,17.62,17.62
28713149.0,Finished,1 December 2022  4:03 PM,1 December 2022  6:03 PM,120.0,16.19,16.19
28631029.0,Finished,1 December 2022  4:04 PM,1 December 2022  6:01 PM,117.0,18.57,18.57
28710401.0,Finished,1 December 2022  4:06 PM,1 December 2022  6:02 PM,115.0,17.14,17.14
28706745.0,Finished,1 December 2022  9:00 PM,1 December 2022  9:27 PM,27.02,11.90,11.90
3700291.0,Finished,2 December 2022  12:55 PM,2 December 2022  1:29 PM,33.83,8.57,8.57
21215887.0,Finished,2 December 2022  6:11 PM,2 December 2022  7:09 PM,58.15,16.67,16.67
28620097.0,Finished,2 December 2022  6:11 PM,2 December 2022  7:08 PM,56.68,16.67,16.67
28707917.0,Finished,2 December 2022  6:19 PM,2 December 2022  6:56 PM,37.18,15.71,15.71
28614730.0,Finished,2 December 2022  6:27 PM,2 December 2022  7:21 PM,53.78,18.10,18.10
21200527.0,Finished,2 December 2022  6:34 PM,2 December 2022  8:18 PM,104.0,13.33,13.33
28708934.0,Finished,2 December 2022  6:57 PM,2 December 2022  7:19 PM,21.73,15.71,15.71
21203528.0,Finished,2 December 2022  7:32 PM,2 December 2022  8:19 PM,47.7,9.05,9.05
28610536.0,Finished,2 December 2022  9:21 PM,2 December 2022  9:50 PM,29.13,14.29,14.29
21201131.0,Finished,2 December 2022  9:28 PM,2 December 2022  10:38 PM,70.0,17.62,17.62
28617316.0,Finished,2 December 2022  9:59 PM,2 December 2022  11:46 PM,107.0,13.81,13.81
28706052.0,Finished,2 December 2022  10:09 PM,2 December 2022  11:58 PM,109.0,12.38,12.38
3803083.0,Finished,2 December 2022  11:06 PM,3 December 2022  1:06 AM,120.0,17.14,17.14
3702508.0,Finished,2 December 2022  11:09 PM,3 December 2022  12:02 AM,52.67,18.57,18.57
3803110.0,Finished,2 December 2022  11:23 PM,2 December 2022  11:40 PM,17.23,16.19,16.19
28605493.0,Finished,2 December 2022  11:44 PM,3 December 2022  1:43 AM,118.0,14.29,14.29
3703308.0,Finished,3 December 2022  12:29 AM,3 December 2022  2:29 AM,120.0,12.86,12.86
28605540.0,Finished,3 December 2022  1:40 AM,3 December 2022  3:40 AM,120.0,14.76,14.76
28706087.0,Finished,3 December 2022  1:50 AM,3 December 2022  2:34 AM,43.93,17.62,17.62
21212724.0,Finished,3 December 2022  2:05 AM,3 December 2022  2:27 AM,21.82,16.67,16.67
28705957.0,Finished,3 December 2022  9:07 AM,3 December 2022  10:18 AM,70.0,6.19,6.19
28711288.0,Finished,3 December 2022  9:40 AM,3 December 2022  11:38 AM,118.0,9.05,9.05
28711501.0,Finished,3 December 2022  10:00 AM,3 December 2022  11:54 AM,113.0,6.67,6.67
28716648.0,Finished,3 December 2022  10:07 AM,3 December 2022  12:07 PM,120.0,17.62,17.62
28707630.0,Finished,3 December 2022  10:10 AM,3 December 2022  11:17 AM,67.0,15.71,15.71
28706411.0,Finished,3 December 2022  10:10 AM,3 December 2022  11:05 AM,55.12,17.14,17.14
28706346.0,Finished,3 December 2022  10:10 AM,3 December 2022  11:06 AM,55.25,12.38,12.38
28705948.0,Finished,3 December 2022  10:11 AM,3 December 2022  11:15 AM,64.0,15.24,15.24
28711626.0,Finished,3 December 2022  10:33 AM,3 December 2022  11:06 AM,32.47,18.10,18.10
28711664.0,Finished,3 December 2022  10:33 AM,3 December 2022  11:06 AM,32.4,18.57,18.57
21201851.0,Finished,3 December 2022  10:43 AM,3 December 2022  12:37 PM,114.0,18.10,18.10
28729891.0,Finished,3 December 2022  10:43 AM,3 December 2022  12:44 PM,120.0,17.62,17.62
28707696.0,Finished,3 December 2022  10:52 AM,3 December 2022  11:49 AM,56.8,14.29,14.29
3803088.0,Finished,3 December 2022  10:52 AM,3 December 2022  12:24 PM,91.0,16.67,16.67
28705959.0,Finished,3 December 2022  11:04 AM,3 December 2022  11:46 AM,41.2,16.67,16.67
28711936.0,Finished,3 December 2022  11:13 AM,3 December 2022  12:18 PM,65.0,6.67,6.67
28709630.0,Finished,3 December 2022  11:15 AM,3 December 2022  12:09 PM,54.65,18.57,18.57
28706879.0,Finished,3 December 2022  11:18 AM,3 December 2022  11:58 AM,39.15,17.14,17.14
28710067.0,Finished,3 December 2022  11:20 AM,3 December 2022  11:58 AM,37.18,17.14,17.14
28602815.0,Finished,3 December 2022  11:28 AM,3 December 2022  12:44 PM,76.0,15.24,15.24
28706508.0,Finished,3 December 2022  11:30 AM,3 December 2022  12:44 PM,73.0,18.10,18.10
