State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
Finished,17 October 2022  2:53 PM,17 October 2022  4:53 PM,1 hour 59 mins,17.97,17.97
Finished,17 October 2022  2:58 PM,17 October 2022  4:56 PM,1 hour 58 mins,17.97,17.97
Finished,17 October 2022  4:31 PM,17 October 2022  6:00 PM,1 hour 28 mins,17.10,17.10
Finished,17 October 2022  7:08 PM,17 October 2022  9:04 PM,1 hour 56 mins,17.68,17.68
Finished,18 October 2022  8:59 AM,18 October 2022  9:53 AM,53 mins 32 secs,16.23,16.23
Finished,18 October 2022  3:56 PM,18 October 2022  3:57 PM,43 secs,0.00,-
Finished,19 October 2022  10:44 AM,19 October 2022  12:44 PM,1 hour 59 mins,2.32,2.32
Finished,19 October 2022  11:26 AM,19 October 2022  12:08 PM,41 mins 33 secs,8.70,8.70
Finished,19 October 2022  4:05 PM,19 October 2022  6:05 PM,2 hours,0.00,-
Finished,19 October 2022  7:55 PM,19 October 2022  9:55 PM,2 hours,13.91,13.91
Finished,20 October 2022  12:41 PM,20 October 2022  1:35 PM,53 mins 31 secs,17.97,17.97
Finished,20 October 2022  1:53 PM,20 October 2022  3:53 PM,2 hours,14.49,14.49
Finished,20 October 2022  3:34 PM,20 October 2022  4:36 PM,1 hour 1 min,15.65,15.65
Finished,20 October 2022  3:34 PM,20 October 2022  4:36 PM,1 hour 1 min,15.94,15.94
Finished,20 October 2022  3:56 PM,20 October 2022  5:44 PM,1 hour 48 mins,16.81,16.81
Finished,20 October 2022  3:56 PM,20 October 2022  5:44 PM,1 hour 48 mins,18.55,18.55
Finished,20 October 2022  3:56 PM,20 October 2022  5:09 PM,1 hour 12 mins,14.20,14.20
Finished,20 October 2022  4:18 PM,20 October 2022  5:45 PM,1 hour 26 mins,17.10,17.10
Finished,20 October 2022  4:18 PM,20 October 2022  5:42 PM,1 hour 24 mins,17.10,17.10
Finished,20 October 2022  5:54 PM,20 October 2022  7:27 PM,1 hour 33 mins,17.97,17.97
