ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67
3803162.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,5.88,2.00,-,3.88
28602627.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,13.67,4.82,2.78,6.07
21114737.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,9.04,2.50,2.22,4.32
3804195.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:14 ,88.0,6.32,4.11,1.67,0.55
3802503.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,89.0,9.17,2.85,2.22,4.10
28720090.0,Finished,8 novembre 2021  12:30 ,8 novembre 2021  2:00 ,90.0,14.17,3.59,5.00,5.57
3407463.0,Finished,8 novembre 2021  12:30 ,8 novembre 2021  1:59 ,89.0,9.43,4.00,1.11,4.32
3677161.0,Finished,8 novembre 2021  12:30 ,8 novembre 2021  1:57 ,86.0,12.74,2.43,6.11,4.21
28603418.0,Finished,8 novembre 2021  10:46 ,8 novembre 2021  12:15 ,88.0,11.61,5.09,1.11,5.41
28607538.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,89.0,7.44,3.18,3.33,0.93
3810013.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:13 ,87.0,13.43,6.24,1.67,5.52
28610199.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:14 ,89.0,16.77,5.08,6.11,5.57
3407716.0,Finished,8 novembre 2021  10:55 ,8 novembre 2021  12:10 ,75.0,8.86,4.38,0.00,4.48
28604190.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:14 ,89.0,8.42,4.15,0.56,3.72
3674474.0,Finished,8 novembre 2021  10:46 ,8 novembre 2021  12:15 ,88.0,5.94,3.15,-,2.79
