State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /1.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /14.00
Finished,14 December 2020  1:38 AM,14 December 2020  1:45 AM,7,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
Finished,12 December 2020  5:42 PM,12 December 2020  6:45 PM,62,13.65,1.00,1.00,1.00,1.00,0.00,1.00,8.65
Finished,14 December 2020  8:02 PM,14 December 2020  8:14 PM,12,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
Finished,14 December 2020  7:56 AM,14 December 2020  9:49 AM,112,11.59,1.00,1.00,1.00,1.00,1.00,0.00,6.59
Finished,13 December 2020  11:03 PM,14 December 2020  12:40 AM,97,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
Finished,11 December 2020  12:39 PM,11 December 2020  1:24 PM,45,13.65,1.00,1.00,1.00,1.00,1.00,0.00,8.65
Finished,13 December 2020  7:17 PM,13 December 2020  8:14 PM,57,17.00,1.00,0.00,1.00,0.00,0.00,1.00,14.00
Finished,13 December 2020  2:54 PM,13 December 2020  4:23 PM,89,20.00,1.00,1.00,1.00,1.00,1.00,1.00,14.00
Finished,14 December 2020  9:21 AM,14 December 2020  10:24 AM,63,8.29,1.00,1.00,1.00,1.00,1.00,0.00,3.29
Finished,13 December 2020  9:01 PM,13 December 2020  9:05 PM,4,18.59,1.00,1.00,1.00,1.00,0.00,1.00,13.59
Finished,10 December 2020  4:47 PM,10 December 2020  6:04 PM,77,17.35,1.00,1.00,1.00,1.00,1.00,0.00,12.35
Finished,14 December 2020  12:07 AM,14 December 2020  12:12 AM,5,19.59,1.00,1.00,1.00,1.00,1.00,1.00,13.59
Finished,10 December 2020  4:47 PM,10 December 2020  6:04 PM,76,17.35,1.00,1.00,1.00,1.00,1.00,0.00,12.35
Finished,13 December 2020  10:16 PM,13 December 2020  11:07 PM,52,16.59,1.00,0.00,1.00,0.00,0.00,1.00,13.59
Finished,14 December 2020  3:01 AM,14 December 2020  3:42 AM,41,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
Finished,13 December 2020  11:45 PM,13 December 2020  11:51 PM,5,20.00,1.00,1.00,1.00,1.00,1.00,1.00,14.00
Finished,13 December 2020  10:29 AM,13 December 2020  11:28 AM,59,18.59,1.00,1.00,1.00,1.00,1.00,0.00,13.59
Finished,14 December 2020  2:35 AM,14 December 2020  2:45 AM,10,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
Finished,14 December 2020  12:26 AM,14 December 2020  1:37 AM,71,19.59,1.00,1.00,1.00,1.00,1.00,1.00,13.59
Finished,13 December 2020  11:19 PM,14 December 2020  12:55 AM,96,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
Finished,13 December 2020  10:27 PM,13 December 2020  11:17 PM,50,17.00,1.00,0.00,1.00,0.00,1.00,0.00,14.00
Finished,13 December 2020  10:05 PM,14 December 2020  12:05 AM,120,20.00,1.00,1.00,1.00,1.00,1.00,1.00,14.00
