ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.33,Q. 2 /5.33,Q. 3 /5.33,Q. 4 /1.33,Q. 5 /4.00,Q. 6 /1.33,Q. 7 /1.33
3803521.0,Finished,11 October 2020  8:08 PM,11 October 2020  8:18 PM,9.22,12.00,0.00,5.33,0.00,0.00,4.00,1.33,1.33
3521310.0,Finished,11 October 2020  8:44 PM,11 October 2020  9:08 PM,23.92,9.00,1.33,0.00,0.00,1.33,4.00,1.00,1.33
3700288.0,Finished,12 October 2020  9:20 AM,12 October 2020  10:07 AM,46.35,8.78,0.00,2.67,0.00,0.44,4.00,1.33,0.33
3810883.0,Finished,6 October 2020  2:32 PM,6 October 2020  3:32 PM,59.77,11.67,1.33,2.67,0.00,1.33,4.00,1.00,1.33
3810883.0,Finished,6 October 2020  3:37 PM,6 October 2020  3:40 PM,3.12,19.33,1.33,4.67,5.33,1.33,4.00,1.33,1.33
3810883.0,Finished,6 October 2020  3:41 PM,6 October 2020  3:46 PM,5.52,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3802927.0,Finished,12 October 2020  9:03 AM,12 October 2020  9:17 AM,13.87,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3706553.0,Finished,11 October 2020  3:19 PM,11 October 2020  5:18 PM,119.0,11.67,0.00,2.67,2.67,0.00,4.00,1.00,1.33
3708951.0,Finished,11 October 2020  9:48 PM,11 October 2020  10:51 PM,62.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3302425.0,Finished,12 October 2020  2:52 AM,12 October 2020  3:42 AM,50.27,12.33,0.00,5.33,0.00,1.33,4.00,0.67,1.00
3801875.0,Finished,7 October 2020  5:13 PM,7 October 2020  6:27 PM,74.0,17.78,0.00,5.33,5.33,0.44,4.00,1.33,1.33
3800455.0,Finished,12 October 2020  1:39 AM,12 October 2020  2:49 AM,69.0,12.44,0.00,5.33,0.00,0.44,4.00,1.33,1.33
3700584.0,Finished,6 October 2020  11:27 AM,6 October 2020  11:32 AM,4.65,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3800333.0,Finished,9 October 2020  7:27 PM,9 October 2020  7:49 PM,22.0,10.67,1.33,2.67,0.00,0.00,4.00,1.33,1.33
3700463.0,Finished,10 October 2020  2:58 PM,10 October 2020  4:38 PM,100.0,11.56,1.33,2.67,0.00,0.89,4.00,1.33,1.33
3800411.0,Finished,7 October 2020  10:18 AM,7 October 2020  10:59 AM,40.62,19.67,1.33,5.33,5.33,1.33,4.00,1.00,1.33
3800411.0,Finished,7 October 2020  11:13 AM,7 October 2020  11:17 AM,4.43,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3407716.0,Finished,11 October 2020  10:00 PM,11 October 2020  10:50 PM,49.38,10.00,0.00,2.00,0.00,1.33,4.00,1.33,1.33
3706539.0,Finished,6 October 2020  2:32 PM,6 October 2020  3:36 PM,63.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
28718098.0,Finished,29 October 2020  10:49 PM,29 October 2020  11:11 PM,21.93,18.00,-,5.33,5.33,1.33,4.00,1.33,0.67
3970876.0,Finished,12 October 2020  1:41 AM,12 October 2020  2:05 AM,23.28,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3520680.0,Finished,11 October 2020  3:13 PM,11 October 2020  3:20 PM,7.62,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3800042.0,Finished,12 October 2020  8:20 AM,12 October 2020  9:06 AM,46.85,16.44,1.33,2.67,5.33,0.44,4.00,1.33,1.33
3520431.0,Finished,6 October 2020  1:23 PM,6 October 2020  2:12 PM,49.45,13.00,1.33,5.33,0.00,0.00,4.00,1.00,1.33
3520431.0,Finished,6 October 2020  2:14 PM,6 October 2020  2:17 PM,3.27,13.33,1.33,5.33,0.00,0.00,4.00,1.33,1.33
3800417.0,Finished,11 October 2020  9:43 PM,11 October 2020  10:37 PM,53.97,16.00,1.33,1.33,5.33,1.33,4.00,1.33,1.33
3520375.0,Finished,11 October 2020  1:27 PM,11 October 2020  2:30 PM,63.0,10.67,1.33,2.67,0.00,0.00,4.00,1.33,1.33
3702742.0,Finished,11 October 2020  5:49 PM,11 October 2020  6:24 PM,35.8,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3872455.0,Finished,11 October 2020  3:30 PM,11 October 2020  4:59 PM,88.0,19.67,1.33,5.33,5.33,1.33,4.00,1.00,1.33
3802719.0,Finished,11 October 2020  8:03 PM,11 October 2020  9:06 PM,62.0,14.67,1.33,5.33,0.00,1.33,4.00,1.33,1.33
3802466.0,Finished,9 October 2020  8:44 PM,9 October 2020  10:12 PM,87.0,7.33,1.33,-,0.00,0.00,4.00,0.67,1.33
3671094.0,Finished,11 October 2020  1:46 PM,11 October 2020  2:23 PM,37.65,18.67,0.00,5.33,5.33,1.33,4.00,1.33,1.33
3803565.0,Finished,11 October 2020  8:53 PM,11 October 2020  9:32 PM,38.58,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3670777.0,Finished,11 October 2020  1:51 PM,11 October 2020  1:54 PM,3.52,19.33,1.33,4.67,5.33,1.33,4.00,1.33,1.33
3702385.0,Finished,11 October 2020  5:36 PM,11 October 2020  6:17 PM,40.53,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3802999.0,Finished,11 October 2020  10:39 PM,11 October 2020  11:31 PM,51.75,16.00,1.33,1.33,5.33,1.33,4.00,1.33,1.33
3700149.0,Finished,11 October 2020  3:17 PM,11 October 2020  3:22 PM,4.97,18.67,-,5.33,5.33,1.33,4.00,1.33,1.33
3670241.0,Finished,5 October 2020  9:17 PM,5 October 2020  10:18 PM,61.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3802342.0,Finished,11 October 2020  9:42 PM,11 October 2020  10:37 PM,54.82,16.00,1.33,1.33,5.33,1.33,4.00,1.33,1.33
3803025.0,Finished,5 October 2020  10:24 PM,5 October 2020  11:26 PM,62.0,19.33,1.33,4.67,5.33,1.33,4.00,1.33,1.33
3803025.0,Finished,5 October 2020  11:31 PM,5 October 2020  11:34 PM,2.87,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3971371.0,Finished,11 October 2020  5:06 PM,11 October 2020  6:23 PM,76.0,12.00,1.33,2.67,0.00,1.33,4.00,1.33,1.33
3800494.0,Finished,11 October 2020  3:16 PM,11 October 2020  4:04 PM,48.08,13.33,0.00,0.00,5.33,1.33,4.00,1.33,1.33
28507556.0,Finished,11 October 2020  2:00 PM,11 October 2020  2:47 PM,46.75,16.11,1.33,5.33,5.33,0.44,1.00,1.33,1.33
3413360.0,Finished,10 October 2020  4:55 PM,10 October 2020  5:41 PM,45.63,10.67,1.33,2.67,0.00,0.00,4.00,1.33,1.33
3971280.0,Finished,10 October 2020  3:27 PM,10 October 2020  3:40 PM,13.33,14.67,1.33,5.33,0.00,1.33,4.00,1.33,1.33
3702996.0,Finished,11 October 2020  2:09 AM,11 October 2020  2:21 AM,12.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3802811.0,Finished,12 October 2020  10:13 AM,12 October 2020  10:17 AM,3.78,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3801528.0,Finished,12 October 2020  5:49 AM,12 October 2020  6:01 AM,11.58,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
28716768.0,Finished,11 October 2020  10:54 PM,12 October 2020  12:34 AM,100.0,14.67,1.33,5.33,0.00,1.33,4.00,1.33,1.33
3802881.0,Finished,11 October 2020  8:21 PM,11 October 2020  9:15 PM,53.47,14.67,1.33,5.33,0.00,1.33,4.00,1.33,1.33
