State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /3.00,Q. 3 /4.00,Q. 4 /2.00,Q. 5 /4.00,Q. 6 /1.00,Q. 7 /1.00
Finished,4 October 2020  4:14 PM,4 October 2020  4:22 PM,8,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  12:38 PM,3 October 2020  1:11 PM,33,18.89,3.89,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  10:25 PM,5 October 2020  12:08 AM,102,16.00,5.00,2.00,3.00,0.00,4.00,1.00,1.00
Finished,4 October 2020  11:35 PM,5 October 2020  12:45 AM,70,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  10:12 PM,3 October 2020  10:29 PM,17,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,4 October 2020  10:57 PM,4 October 2020  11:05 PM,9,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  8:07 PM,4 October 2020  9:03 PM,55,15.00,5.00,3.00,4.00,2.00,0.00,1.00,0.00
Finished,4 October 2020  9:27 PM,4 October 2020  10:50 PM,82,4.33,3.33,0.00,0.00,0.00,0.00,1.00,0.00
Finished,4 October 2020  9:41 PM,4 October 2020  9:43 PM,2,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,29 September 2020  11:24 AM,29 September 2020  11:58 AM,34,19.00,5.00,3.00,3.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  1:09 PM,4 October 2020  1:48 PM,40,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  10:48 AM,3 October 2020  10:52 AM,4,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  3:21 PM,4 October 2020  3:36 PM,15,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  8:40 PM,4 October 2020  10:08 PM,88,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  10:24 PM,4 October 2020  10:44 PM,20,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  12:20 PM,4 October 2020  1:07 PM,47,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  11:10 PM,3 October 2020  11:13 PM,3,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  3:38 PM,4 October 2020  4:06 PM,29,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  9:36 PM,4 October 2020  11:26 PM,109,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,4 October 2020  1:58 PM,4 October 2020  2:32 PM,35,19.00,5.00,3.00,4.00,2.00,4.00,1.00,0.00
Finished,3 October 2020  6:56 PM,3 October 2020  7:38 PM,42,16.00,5.00,3.00,4.00,2.00,0.00,1.00,1.00
Finished,5 October 2020  2:10 AM,5 October 2020  2:52 AM,42,19.00,5.00,2.00,4.00,2.00,4.00,1.00,1.00
Finished,2 October 2020  5:02 PM,2 October 2020  5:15 PM,14,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  3:20 PM,4 October 2020  3:35 PM,14,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  4:00 PM,4 October 2020  5:11 PM,70,16.44,4.44,3.00,1.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  10:33 PM,4 October 2020  11:04 PM,31,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  2:47 PM,4 October 2020  4:47 PM,120,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,5 October 2020  8:42 AM,5 October 2020  9:49 AM,66,15.00,5.00,3.00,4.00,2.00,0.00,1.00,0.00
Finished,4 October 2020  2:18 PM,4 October 2020  2:39 PM,21,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  7:59 PM,3 October 2020  8:37 PM,38,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,3 October 2020  4:14 PM,3 October 2020  4:15 PM,2,19.00,5.00,2.00,4.00,2.00,4.00,1.00,1.00
Finished,29 September 2020  3:11 PM,29 September 2020  3:46 PM,34,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,3 October 2020  3:53 PM,3 October 2020  3:59 PM,6,18.00,5.00,2.00,3.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  4:09 PM,3 October 2020  4:14 PM,4,19.00,5.00,2.00,4.00,2.00,4.00,1.00,1.00
Finished,1 October 2020  2:22 PM,1 October 2020  2:45 PM,23,13.89,3.89,3.00,4.00,2.00,0.00,0.00,1.00
Finished,5 October 2020  7:04 AM,5 October 2020  7:56 AM,51,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,5 October 2020  12:20 AM,5 October 2020  1:37 AM,76,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,3 October 2020  4:28 PM,3 October 2020  4:39 PM,11,12.78,2.78,2.00,4.00,2.00,0.00,1.00,1.00
Finished,4 October 2020  11:10 PM,4 October 2020  11:49 PM,39,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
