State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /7.00,Q. 3 /5.00,Q. 4 /3.00
Finished,21 December 2020  10:20 AM,21 December 2020  10:26 AM,7,11.00,3.00,7.00,0.00,1.00
Finished,21 December 2020  9:23 AM,21 December 2020  10:29 AM,66,11.00,4.00,6.00,0.00,1.00
Finished,24 January 2021  6:15 PM,24 January 2021  6:23 PM,8,19.00,5.00,6.00,5.00,3.00
Finished,20 December 2020  10:30 PM,21 December 2020  12:18 AM,108,17.00,4.00,7.00,5.00,1.00
Finished,20 December 2020  11:43 PM,21 December 2020  12:00 AM,17,13.00,4.00,7.00,1.00,1.00
Finished,20 December 2020  10:29 PM,20 December 2020  11:12 PM,43,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  12:28 AM,21 December 2020  1:50 AM,82,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  11:34 PM,20 December 2020  11:36 PM,2,13.00,3.00,6.00,3.00,1.00
Finished,16 December 2020  12:50 PM,16 December 2020  1:39 PM,50,4.00,1.00,2.00,0.00,1.00
Finished,21 December 2020  12:36 AM,21 December 2020  12:43 AM,7,12.00,4.00,7.00,0.00,1.00
Finished,18 December 2020  3:28 PM,18 December 2020  4:38 PM,69,7.00,1.00,5.00,0.00,1.00
Finished,21 December 2020  9:04 AM,21 December 2020  10:29 AM,84,11.00,4.00,6.00,0.00,1.00
Finished,20 December 2020  11:04 PM,20 December 2020  11:18 PM,14,10.00,3.00,6.00,0.00,1.00
Finished,16 December 2020  3:55 PM,16 December 2020  5:55 PM,120,8.00,2.00,4.00,2.00,0.00
Finished,21 December 2020  12:37 AM,21 December 2020  1:15 AM,38,16.00,4.00,7.00,3.00,2.00
Finished,20 December 2020  11:36 PM,21 December 2020  1:16 AM,99,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  11:51 AM,20 December 2020  12:56 PM,64,6.00,1.00,4.00,0.00,1.00
Finished,21 December 2020  12:53 AM,21 December 2020  2:39 AM,105,14.00,3.00,7.00,3.00,1.00
Finished,20 December 2020  11:22 PM,21 December 2020  12:37 AM,74,6.00,2.00,3.00,0.00,1.00
Finished,20 December 2020  1:04 PM,20 December 2020  1:35 PM,31,6.00,2.00,4.00,0.00,0.00
Finished,20 December 2020  10:34 PM,20 December 2020  11:34 PM,60,15.00,4.00,7.00,3.00,1.00
Finished,20 December 2020  5:41 PM,20 December 2020  6:55 PM,74,4.00,1.00,2.00,-,1.00
Finished,20 December 2020  10:58 PM,20 December 2020  11:35 PM,37,15.00,4.00,7.00,3.00,1.00
