State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /7.00,Q. 2 /1.00,Q. 3 /2.00,Q. 4 /3.00,Q. 5 /1.00,Q. 6 /6.00
Finished,25 October 2020  11:27 PM,25 October 2020  11:46 PM,19,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,22 October 2020  11:16 AM,22 October 2020  11:49 AM,33,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  3:41 PM,25 October 2020  5:19 PM,98,18.21,6.50,1.00,2.00,3.00,1.00,4.71
Finished,25 October 2020  10:44 PM,25 October 2020  11:56 PM,72,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,21 October 2020  1:02 PM,21 October 2020  2:26 PM,83,16.57,7.00,1.00,2.00,3.00,1.00,2.57
Finished,25 October 2020  11:45 PM,26 October 2020  12:17 AM,31,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  11:19 PM,26 October 2020  12:39 AM,80,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  12:54 PM,25 October 2020  1:52 PM,58,16.57,7.00,1.00,2.00,3.00,1.00,2.57
Finished,24 October 2020  10:29 PM,24 October 2020  10:36 PM,7,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,19 October 2020  3:04 PM,19 October 2020  3:44 PM,40,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  9:23 PM,25 October 2020  9:26 PM,3,17.71,7.00,1.00,2.00,3.00,-,4.71
Finished,23 October 2020  9:42 AM,23 October 2020  9:45 AM,3,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  11:51 PM,26 October 2020  12:01 AM,10,18.21,6.50,1.00,2.00,3.00,1.00,4.71
Finished,25 October 2020  10:19 PM,25 October 2020  11:26 PM,67,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  8:10 PM,25 October 2020  8:15 PM,5,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  11:19 AM,25 October 2020  11:45 AM,26,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,23 October 2020  5:32 PM,23 October 2020  5:35 PM,3,17.43,7.00,1.00,2.00,3.00,1.00,3.43
Finished,25 October 2020  3:35 PM,25 October 2020  3:41 PM,6,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,26 October 2020  12:50 PM,26 October 2020  2:14 PM,84,19.57,7.00,1.00,2.00,3.00,1.00,5.57
Finished,24 October 2020  4:17 PM,24 October 2020  4:35 PM,18,18.71,7.00,1.00,2.00,3.00,1.00,4.71
Finished,25 October 2020  11:05 PM,25 October 2020  11:55 PM,50,19.57,7.00,1.00,2.00,3.00,1.00,5.57
Finished,26 October 2020  8:51 AM,26 October 2020  9:40 AM,49,19.14,7.00,1.00,2.00,3.00,1.00,5.14
Finished,19 October 2020  8:24 PM,19 October 2020  8:48 PM,24,18.00,7.00,1.00,0.00,3.00,1.00,6.00
Finished,22 October 2020  9:15 PM,22 October 2020  9:17 PM,2,18.71,7.00,1.00,2.00,3.00,1.00,4.71
Finished,24 October 2020  10:57 PM,25 October 2020  12:16 AM,79,19.14,7.00,1.00,2.00,3.00,1.00,5.14
Finished,24 October 2020  10:28 PM,24 October 2020  10:34 PM,6,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,23 October 2020  8:39 PM,23 October 2020  9:03 PM,24,18.71,7.00,1.00,2.00,3.00,1.00,4.71
Finished,26 October 2020  9:29 AM,26 October 2020  10:16 AM,47,19.14,7.00,1.00,2.00,3.00,1.00,5.14
Finished,25 October 2020  2:25 AM,25 October 2020  2:43 AM,18,16.64,6.50,1.00,0.00,3.00,1.00,5.14
Finished,24 October 2020  6:59 PM,24 October 2020  8:15 PM,75,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,21 October 2020  12:09 PM,21 October 2020  12:23 PM,14,16.57,7.00,1.00,2.00,3.00,1.00,2.57
Finished,20 October 2020  2:01 PM,20 October 2020  2:29 PM,28,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,24 October 2020  8:17 PM,24 October 2020  9:27 PM,69,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  7:00 PM,25 October 2020  7:04 PM,4,16.57,7.00,1.00,2.00,3.00,1.00,2.57
Finished,25 October 2020  10:19 PM,25 October 2020  10:51 PM,32,16.00,7.00,1.00,0.00,1.00,1.00,6.00
Finished,26 October 2020  12:55 AM,26 October 2020  1:21 AM,26,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,26 October 2020  4:06 AM,26 October 2020  4:21 AM,15,18.71,7.00,1.00,2.00,3.00,1.00,4.71
