ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
28712278.0,Finished,22 October 2022  10:10 AM,22 October 2022  10:56 AM,46.07,18.55,18.55
3700119.0,Finished,22 October 2022  10:15 AM,22 October 2022  11:54 AM,98.0,17.97,17.97
28604542.0,Finished,22 October 2022  10:17 AM,22 October 2022  11:54 AM,96.0,17.97,17.97
28711288.0,Finished,22 October 2022  10:17 AM,22 October 2022  12:16 PM,119.0,16.81,16.81
3703308.0,Finished,22 October 2022  10:21 AM,22 October 2022  12:21 PM,120.0,9.28,9.28
21219688.0,Finished,22 October 2022  10:29 AM,22 October 2022  12:29 PM,120.0,0.00,0.00
28705959.0,Finished,22 October 2022  10:31 AM,22 October 2022  11:50 AM,79.0,13.33,13.33
28705948.0,Finished,22 October 2022  10:31 AM,22 October 2022  11:48 AM,77.0,15.65,15.65
21208634.0,Finished,22 October 2022  10:40 AM,22 October 2022  12:33 PM,112.0,17.97,17.97
28705068.0,Finished,22 October 2022  10:42 AM,22 October 2022  12:06 PM,84.0,15.65,15.65
28707726.0,Finished,22 October 2022  10:54 AM,22 October 2022  12:53 PM,118.0,11.88,11.88
3803088.0,Finished,22 October 2022  11:10 AM,22 October 2022  12:15 PM,64.0,16.52,16.52
28608893.0,Finished,22 October 2022  11:10 AM,22 October 2022  11:47 AM,36.18,19.13,19.13
28708067.0,Finished,22 October 2022  11:20 AM,22 October 2022  12:43 PM,82.0,15.65,15.65
28706879.0,Finished,22 October 2022  11:22 AM,22 October 2022  12:41 PM,79.0,15.94,15.94
28710067.0,Finished,22 October 2022  11:22 AM,22 October 2022  12:41 PM,78.0,15.94,15.94
3672079.0,Finished,22 October 2022  11:23 AM,22 October 2022  1:06 PM,103.0,15.65,15.65
28710114.0,Finished,22 October 2022  11:23 AM,22 October 2022  1:08 PM,105.0,15.07,15.07
28711002.0,Finished,22 October 2022  11:24 AM,22 October 2022  1:16 PM,112.0,17.68,17.68
28706664.0,Finished,22 October 2022  11:34 AM,22 October 2022  12:29 PM,55.4,15.36,15.36
28707630.0,Finished,22 October 2022  11:40 AM,22 October 2022  12:23 PM,43.3,14.78,14.78
28706938.0,Finished,22 October 2022  11:50 AM,22 October 2022  12:17 PM,26.4,17.10,17.10
21207306.0,Finished,22 October 2022  11:54 AM,22 October 2022  12:41 PM,47.13,15.36,15.36
28631974.0,Finished,22 October 2022  12:01 PM,22 October 2022  1:08 PM,66.0,15.94,15.94
28620133.0,Finished,22 October 2022  12:06 PM,22 October 2022  12:46 PM,39.65,11.59,11.59
28609220.0,Finished,22 October 2022  12:10 PM,22 October 2022  1:24 PM,73.0,15.07,15.07
28707696.0,Finished,22 October 2022  12:16 PM,22 October 2022  12:33 PM,16.93,16.52,16.52
28706076.0,Finished,22 October 2022  12:16 PM,22 October 2022  12:43 PM,26.55,18.55,18.55
21212519.0,Finished,22 October 2022  12:16 PM,22 October 2022  1:44 PM,88.0,13.33,13.33
28600769.0,Finished,22 October 2022  12:19 PM,22 October 2022  1:11 PM,51.85,16.81,16.81
28729891.0,Finished,22 October 2022  12:35 PM,22 October 2022  1:59 PM,84.0,18.26,18.26
28601294.0,Finished,22 October 2022  1:01 PM,22 October 2022  2:49 PM,108.0,15.94,15.94
28705835.0,Finished,22 October 2022  1:14 PM,22 October 2022  1:52 PM,38.13,8.41,8.41
28717247.0,Finished,22 October 2022  1:14 PM,22 October 2022  1:44 PM,29.68,15.07,15.07
28706232.0,Finished,22 October 2022  1:17 PM,22 October 2022  1:52 PM,34.9,17.97,17.97
28618735.0,Finished,22 October 2022  1:19 PM,22 October 2022  2:02 PM,43.6,13.62,13.62
21214576.0,Finished,22 October 2022  1:21 PM,22 October 2022  3:01 PM,100.0,18.55,18.55
28630611.0,Finished,22 October 2022  1:23 PM,22 October 2022  1:49 PM,26.42,18.26,18.26
28706848.0,Finished,22 October 2022  1:26 PM,22 October 2022  2:17 PM,50.95,16.52,16.52
28721870.0,Finished,22 October 2022  1:26 PM,22 October 2022  2:20 PM,53.5,17.39,17.39
3521887.0,Finished,22 October 2022  1:27 PM,22 October 2022  2:17 PM,49.92,13.62,13.62
28602815.0,Finished,22 October 2022  1:28 PM,22 October 2022  2:20 PM,52.12,18.55,18.55
28706508.0,Finished,22 October 2022  1:28 PM,22 October 2022  2:46 PM,77.0,18.55,18.55
28706745.0,Finished,22 October 2022  1:29 PM,22 October 2022  2:12 PM,43.2,16.81,16.81
21113317.0,Finished,22 October 2022  1:30 PM,22 October 2022  2:13 PM,42.53,15.07,15.07
21212724.0,Finished,22 October 2022  1:53 PM,22 October 2022  2:36 PM,43.43,15.36,15.36
28626896.0,Finished,22 October 2022  1:54 PM,22 October 2022  3:45 PM,110.0,17.39,17.39
28708487.0,Finished,22 October 2022  1:55 PM,22 October 2022  3:28 PM,92.0,17.97,17.97
28707797.0,Finished,22 October 2022  2:03 PM,22 October 2022  3:11 PM,68.0,12.17,12.17
28710263.0,Finished,22 October 2022  2:04 PM,22 October 2022  2:57 PM,53.8,15.94,15.94
28711545.0,Finished,22 October 2022  2:06 PM,22 October 2022  3:13 PM,66.0,16.23,16.23
3804183.0,Finished,22 October 2022  2:07 PM,22 October 2022  3:43 PM,95.0,15.94,15.94
28707365.0,Finished,22 October 2022  2:12 PM,22 October 2022  4:12 PM,119.0,18.84,18.84
21200977.0,Finished,22 October 2022  2:13 PM,22 October 2022  3:25 PM,71.0,18.26,18.26
3808685.0,Finished,22 October 2022  2:21 PM,22 October 2022  4:18 PM,116.0,16.23,16.23
28710621.0,Finished,22 October 2022  2:22 PM,22 October 2022  4:20 PM,117.0,18.55,18.55
28605493.0,Finished,22 October 2022  2:24 PM,22 October 2022  4:23 PM,118.0,17.10,17.10
3811684.0,Finished,22 October 2022  2:24 PM,22 October 2022  4:18 PM,113.0,17.10,17.10
3802503.0,Finished,22 October 2022  2:34 PM,22 October 2022  3:57 PM,83.0,13.91,13.91
3804152.0,Finished,22 October 2022  2:36 PM,22 October 2022  3:26 PM,49.95,15.36,15.36
28707475.0,Finished,22 October 2022  2:38 PM,22 October 2022  3:04 PM,25.53,17.10,17.10
28709531.0,Finished,22 October 2022  2:46 PM,22 October 2022  4:09 PM,83.0,16.23,16.23
21218709.0,Finished,22 October 2022  2:46 PM,22 October 2022  4:18 PM,92.0,18.26,18.26
28600470.0,Finished,22 October 2022  2:50 PM,22 October 2022  4:23 PM,92.0,16.52,16.52
21213030.0,Finished,22 October 2022  2:56 PM,22 October 2022  4:11 PM,74.0,16.52,16.52
28706112.0,Finished,22 October 2022  2:56 PM,22 October 2022  4:20 PM,83.0,17.68,17.68
28708274.0,Finished,22 October 2022  2:56 PM,22 October 2022  3:29 PM,32.73,17.10,17.10
21213350.0,Finished,22 October 2022  3:03 PM,22 October 2022  5:02 PM,118.0,16.81,16.81
28711772.0,Finished,22 October 2022  3:04 PM,22 October 2022  3:46 PM,41.72,15.65,15.65
28706138.0,Finished,22 October 2022  3:04 PM,22 October 2022  4:45 PM,100.0,18.84,18.84
28711733.0,Finished,22 October 2022  3:05 PM,22 October 2022  4:09 PM,63.0,18.26,18.26
28706563.0,Finished,22 October 2022  3:06 PM,22 October 2022  4:12 PM,66.0,17.10,17.10
28706331.0,Finished,22 October 2022  3:06 PM,22 October 2022  4:10 PM,64.0,17.39,17.39
28706636.0,Finished,22 October 2022  3:06 PM,22 October 2022  5:06 PM,120.0,17.39,17.39
3808418.0,Finished,22 October 2022  3:07 PM,22 October 2022  4:39 PM,91.0,18.84,18.84
3872127.0,Finished,22 October 2022  3:08 PM,22 October 2022  5:06 PM,118.0,16.81,16.81
21215887.0,Finished,22 October 2022  3:18 PM,22 October 2022  4:11 PM,52.4,17.68,17.68
21208283.0,Finished,22 October 2022  3:20 PM,22 October 2022  4:02 PM,41.68,17.68,17.68
28610536.0,Finished,22 October 2022  3:21 PM,22 October 2022  4:07 PM,46.8,17.10,17.10
28706415.0,Finished,22 October 2022  3:23 PM,22 October 2022  4:53 PM,90.0,17.97,17.97
28606874.0,Finished,22 October 2022  3:25 PM,22 October 2022  4:49 PM,83.0,13.91,13.91
