State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.45,Q. 2 /4.55,Q. 3 /0.91,Q. 4 /0.91,Q. 5 /1.82,Q. 6 /3.64,Q. 7 /2.73
Finished,19 septembre 2021  11:19 ,20 septembre 2021  12:11 ,51 mins 46 secs,8.18,1.82,0.91,0.91,0.00,1.82,0.91,1.82
Finished,19 septembre 2021  11:27 ,19 septembre 2021  12:09 ,42 mins 15 secs,15.45,5.45,4.55,0.91,0.00,1.82,0.91,1.82
Finished,20 septembre 2021  8:33 ,20 septembre 2021  8:37 ,4 mins 36 secs,15.45,5.45,4.55,0.91,0.00,1.82,0.91,1.82
Finished,18 septembre 2021  4:29 ,18 septembre 2021  5:15 ,45 mins 47 secs,14.55,4.55,3.64,0.91,0.91,1.82,0.91,1.82
Finished,17 septembre 2021  9:52 ,17 septembre 2021  10:58 ,1 hour 5 mins,18.64,5.45,4.55,0.91,0.45,1.82,3.64,1.82
Finished,19 septembre 2021  4:31 ,19 septembre 2021  5:41 ,1 hour 9 mins,10.00,1.82,1.82,0.91,0.00,1.82,1.82,1.82
Finished,19 septembre 2021  10:30 ,20 septembre 2021  12:00 ,1 hour 30 mins,13.64,2.73,4.55,0.91,0.91,1.82,0.91,1.82
Finished,19 septembre 2021  11:17 ,19 septembre 2021  12:13 ,55 mins 40 secs,15.45,5.45,4.55,0.91,0.00,1.82,0.91,1.82
Finished,19 septembre 2021  10:25 ,19 septembre 2021  11:33 ,1 hour 7 mins,5.91,1.82,0.00,0.91,0.45,1.82,0.00,0.91
Finished,19 septembre 2021  9:53 ,19 septembre 2021  10:53 ,59 mins 17 secs,15.91,5.45,4.55,0.91,0.45,1.82,0.91,1.82
Finished,14 septembre 2021  5:42 ,14 septembre 2021  7:36 ,1 hour 53 mins,15.00,5.45,4.55,-,0.45,1.82,0.91,1.82
Finished,19 septembre 2021  9:27 ,19 septembre 2021  9:31 ,4 mins 10 secs,10.00,1.82,3.64,0.91,0.00,0.91,0.91,1.82
Finished,17 septembre 2021  9:02 ,17 septembre 2021  10:59 ,1 hour 56 mins,9.09,1.82,3.64,0.91,0.00,0.91,0.91,0.91
Finished,19 septembre 2021  9:56 ,19 septembre 2021  10:26 ,30 mins 21 secs,15.91,4.55,4.55,0.91,0.45,1.82,1.82,1.82
Finished,20 septembre 2021  12:14 ,20 septembre 2021  12:30 ,16 mins 3 secs,14.55,4.55,4.55,0.91,0.00,1.82,0.91,1.82
Finished,14 septembre 2021  1:56 ,14 septembre 2021  2:42 ,45 mins 56 secs,16.36,5.45,4.55,0.91,0.00,1.82,2.73,0.91
Finished,19 septembre 2021  1:17 ,19 septembre 2021  2:48 ,1 hour 30 mins,9.09,2.73,0.91,0.91,0.00,1.82,0.91,1.82
Finished,20 septembre 2021  7:57 ,20 septembre 2021  9:57 ,2 hours,0.00,-,-,-,-,-,-,-
Finished,19 septembre 2021  5:24 ,19 septembre 2021  5:43 ,18 mins 31 secs,15.45,5.45,4.55,0.91,0.00,1.82,0.91,1.82
Finished,19 septembre 2021  5:30 ,19 septembre 2021  6:32 ,1 hour 2 mins,16.36,5.45,4.55,0.91,0.00,1.82,1.82,1.82
Finished,19 septembre 2021  3:21 ,19 septembre 2021  3:32 ,10 mins 47 secs,15.45,5.45,4.55,0.91,0.00,1.82,0.91,1.82
Finished,18 septembre 2021  6:14 ,18 septembre 2021  8:08 ,1 hour 54 mins,3.64,0.91,0.91,0.91,0.91,0.00,0.00,0.00
Finished,19 septembre 2021  11:26 ,20 septembre 2021  12:59 ,1 hour 32 mins,16.36,5.45,4.55,0.91,0.91,1.82,0.91,1.82
Finished,19 septembre 2021  8:39 ,19 septembre 2021  10:39 ,1 hour 59 mins,11.36,3.64,0.91,0.91,0.45,1.82,1.82,1.82
Finished,19 septembre 2021  3:13 ,19 septembre 2021  4:02 ,49 mins 1 sec,10.91,1.82,0.91,0.91,0.00,1.82,3.64,1.82
Finished,20 septembre 2021  8:52 ,20 septembre 2021  9:59 ,1 hour 7 mins,13.64,3.64,4.55,0.91,0.00,1.82,0.91,1.82
Finished,19 septembre 2021  3:10 ,19 septembre 2021  3:39 ,28 mins 38 secs,10.91,5.45,2.73,0.91,0.00,0.00,0.91,0.91
Finished,15 septembre 2021  10:04 ,15 septembre 2021  11:29 ,1 hour 25 mins,10.91,4.55,0.91,0.91,0.00,1.82,0.91,1.82
Finished,19 septembre 2021  9:46 ,19 septembre 2021  11:41 ,1 hour 54 mins,16.36,5.45,4.55,0.91,0.91,1.82,0.91,1.82
Finished,16 septembre 2021  2:50 ,16 septembre 2021  4:49 ,1 hour 58 mins,8.18,1.82,0.00,0.91,0.00,1.82,1.82,1.82
Finished,19 septembre 2021  8:31 ,19 septembre 2021  9:54 ,1 hour 23 mins,17.27,5.45,4.55,0.91,0.00,1.82,3.64,0.91
Finished,20 septembre 2021  12:35 ,20 septembre 2021  1:49 ,1 hour 14 mins,18.18,5.45,4.55,0.91,0.91,1.82,3.64,0.91
Finished,16 septembre 2021  5:54 ,16 septembre 2021  7:26 ,1 hour 32 mins,6.36,1.82,0.91,0.91,0.00,1.82,0.91,0.00
Finished,18 septembre 2021  1:00 ,18 septembre 2021  1:40 ,40 mins 8 secs,19.09,5.45,4.55,0.91,0.91,1.82,3.64,1.82
Finished,16 septembre 2021  7:09 ,16 septembre 2021  8:38 ,1 hour 29 mins,11.36,4.55,3.64,0.91,0.45,1.82,0.00,0.00
Finished,18 septembre 2021  11:30 ,18 septembre 2021  12:06 ,35 mins 54 secs,16.82,5.45,4.55,0.91,0.45,1.82,1.82,1.82
Finished,14 septembre 2021  1:54 ,14 septembre 2021  2:13 ,18 mins 36 secs,1.82,0.00,0.91,0.91,0.00,-,-,-
Finished,19 septembre 2021  10:48 ,19 septembre 2021  11:25 ,37 mins 9 secs,4.55,0.00,2.73,0.00,0.00,1.82,0.00,-
Finished,18 septembre 2021  6:27 ,18 septembre 2021  7:15 ,48 mins 7 secs,14.55,5.45,4.55,0.91,0.00,0.91,0.91,1.82
Finished,14 septembre 2021  7:40 ,14 septembre 2021  8:31 ,50 mins 40 secs,18.18,4.55,4.55,0.91,0.91,1.82,3.64,1.82
Finished,18 septembre 2021  2:27 ,18 septembre 2021  3:46 ,1 hour 19 mins,15.45,5.45,3.64,0.91,0.00,1.82,1.82,1.82
Finished,15 septembre 2021  4:38 ,15 septembre 2021  6:37 ,1 hour 59 mins,13.64,4.55,3.64,-,0.00,1.82,2.73,0.91
