ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /3.00,Q. 3 /4.00,Q. 4 /6.00,Q. 5 /1.00,Q. 6 /1.00
28002307.0,Finished,25 septembre 2021  6:33 ,25 septembre 2021  7:31 ,57.58,15.56,0.56,3.00,4.00,6.00,1.00,1.00
3700560.0,Finished,26 septembre 2021  7:34 ,26 septembre 2021  9:09 ,95.0,13.00,5.00,3.00,4.00,0.00,0.00,1.00
3677063.0,Finished,25 septembre 2021  5:02 ,25 septembre 2021  5:20 ,18.42,20.00,5.00,3.00,4.00,6.00,1.00,1.00
21112734.0,Finished,25 septembre 2021  6:22 ,25 septembre 2021  7:10 ,48.03,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28600665.0,Finished,22 septembre 2021  9:14 ,22 septembre 2021  9:40 ,25.13,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28607480.0,Finished,27 septembre 2021  11:00 ,27 septembre 2021  11:17 ,17.62,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28507548.0,Finished,26 septembre 2021  8:54 ,26 septembre 2021  9:28 ,33.37,9.56,0.56,3.00,4.00,0.00,1.00,1.00
3803162.0,Finished,26 septembre 2021  9:36 ,26 septembre 2021  10:36 ,60.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28602627.0,Finished,25 septembre 2021  2:33 ,25 septembre 2021  3:16 ,43.22,14.00,5.00,3.00,4.00,0.00,1.00,1.00
21114737.0,Finished,27 septembre 2021  2:51 ,27 septembre 2021  4:51 ,120.0,16.00,5.00,3.00,4.00,3.00,0.00,1.00
3804195.0,Finished,23 septembre 2021  5:08 ,23 septembre 2021  6:04 ,56.47,15.00,5.00,3.00,3.00,3.00,0.00,1.00
3802503.0,Finished,27 septembre 2021  12:16 ,27 septembre 2021  12:31 ,14.77,17.78,2.78,3.00,4.00,6.00,1.00,1.00
28720090.0,Finished,27 septembre 2021  9:21 ,27 septembre 2021  10:18 ,57.42,19.00,5.00,2.00,4.00,6.00,1.00,1.00
3407463.0,Finished,26 septembre 2021  8:35 ,26 septembre 2021  9:19 ,44.65,12.00,5.00,2.00,4.00,0.00,1.00,0.00
