State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.65,Q. 2 /5.16,Q. 3 /1.29,Q. 4 /3.87,Q. 5 /3.87,Q. 6 /2.58,Q. 7 /2.58
Finished,3 octobre 2021  1:30 ,3 octobre 2021  2:12 ,41,18.06,0.65,3.23,1.29,3.87,3.87,2.58,2.58
Finished,3 octobre 2021  6:05 ,3 octobre 2021  7:14 ,69,10.32,0.00,2.58,0.00,0.00,3.23,2.58,1.94
Finished,3 octobre 2021  9:35 ,3 octobre 2021  10:05 ,30,13.55,0.65,2.58,1.29,0.00,3.87,2.58,2.58
Finished,4 octobre 2021  9:52 ,4 octobre 2021  9:57 ,5,4.52,-,-,-,-,-,2.58,1.94
Finished,3 octobre 2021  2:21 ,3 octobre 2021  2:57 ,36,16.77,0.00,2.58,1.29,3.87,3.87,2.58,2.58
Finished,2 octobre 2021  6:42 ,2 octobre 2021  7:21 ,39,15.48,0.00,2.58,-,3.87,3.87,2.58,2.58
Finished,4 octobre 2021  12:36 ,4 octobre 2021  12:50 ,14,10.97,0.65,0.00,1.29,0.00,3.87,2.58,2.58
Finished,4 octobre 2021  3:50 ,4 octobre 2021  4:28 ,38,11.61,0.65,1.94,1.29,0.00,2.58,2.58,2.58
Finished,3 octobre 2021  6:38 ,3 octobre 2021  7:18 ,40,11.61,0.65,2.58,0.65,0.00,3.87,1.29,2.58
Finished,3 octobre 2021  3:33 ,3 octobre 2021  4:52 ,78,10.97,-,-,-,3.87,3.87,1.29,1.94
Finished,28 septembre 2021  10:05 ,28 septembre 2021  11:43 ,98,12.90,0.00,1.94,1.29,1.29,3.87,1.94,2.58
Finished,4 octobre 2021  4:10 ,4 octobre 2021  6:07 ,116,11.61,0.00,5.16,-,-,3.87,0.65,1.94
Finished,3 octobre 2021  11:31 ,4 octobre 2021  12:33 ,61,20.00,0.65,5.16,1.29,3.87,3.87,2.58,2.58
Finished,3 octobre 2021  9:46 ,3 octobre 2021  11:25 ,98,18.71,0.65,4.52,1.29,3.87,3.87,1.94,2.58
Finished,4 octobre 2021  7:13 ,4 octobre 2021  7:39 ,26,17.42,0.65,2.58,1.29,3.87,3.87,2.58,2.58
Finished,29 septembre 2021  1:18 ,29 septembre 2021  1:54 ,36,11.61,0.65,2.58,0.00,0.00,3.87,1.94,2.58
Finished,3 octobre 2021  3:21 ,3 octobre 2021  4:23 ,61,14.84,0.65,0.00,1.29,3.87,3.87,2.58,2.58
Finished,4 octobre 2021  10:00 ,4 octobre 2021  10:23 ,23,5.48,-,-,0.00,0.00,2.26,1.29,1.94
Finished,3 octobre 2021  10:29 ,3 octobre 2021  11:04 ,35,13.23,0.65,0.00,0.00,3.87,3.55,2.58,2.58
Finished,3 octobre 2021  10:50 ,3 octobre 2021  11:24 ,35,18.71,0.65,4.52,1.29,3.87,3.87,1.94,2.58
Finished,3 octobre 2021  6:13 ,3 octobre 2021  7:10 ,57,9.03,0.65,1.94,1.29,0.00,0.00,2.58,2.58
Finished,4 octobre 2021  8:49 ,4 octobre 2021  9:27 ,38,12.26,0.65,1.29,1.29,0.00,3.87,2.58,2.58
Finished,3 octobre 2021  10:28 ,3 octobre 2021  11:00 ,32,17.42,0.65,2.58,1.29,3.87,3.87,2.58,2.58
Finished,4 octobre 2021  12:45 ,4 octobre 2021  1:54 ,69,10.97,0.00,3.23,0.00,0.00,3.87,2.58,1.29
Finished,2 octobre 2021  12:07 ,2 octobre 2021  2:03 ,115,16.13,0.65,2.58,0.00,3.87,3.87,2.58,2.58
Finished,4 octobre 2021  8:46 ,4 octobre 2021  9:07 ,21,12.26,0.00,3.23,0.00,0.00,3.87,2.58,2.58
Finished,4 octobre 2021  8:40 ,4 octobre 2021  9:02 ,23,2.58,0.00,0.00,0.00,1.29,0.65,-,0.65
Finished,3 octobre 2021  8:22 ,3 octobre 2021  9:56 ,94,12.90,0.65,1.94,1.29,0.00,3.87,2.58,2.58
Finished,4 octobre 2021  12:00 ,4 octobre 2021  12:31 ,30,20.00,0.65,5.16,1.29,3.87,3.87,2.58,2.58
Finished,3 octobre 2021  2:04 ,3 octobre 2021  3:40 ,95,14.84,0.65,1.29,0.00,3.87,3.87,2.58,2.58
Finished,4 octobre 2021  8:47 ,4 octobre 2021  9:53 ,66,16.77,0.65,2.58,1.29,3.87,3.23,2.58,2.58
Finished,3 octobre 2021  9:08 ,3 octobre 2021  9:34 ,26,16.77,0.65,1.94,1.29,3.87,3.87,2.58,2.58
Finished,4 octobre 2021  9:25 ,4 octobre 2021  10:11 ,46,9.68,0.65,0.65,1.29,0.00,3.23,2.58,1.29
Finished,1 octobre 2021  6:00 ,1 octobre 2021  6:24 ,24,13.55,0.65,2.58,1.29,0.00,3.87,2.58,2.58
Finished,3 octobre 2021  10:06 ,3 octobre 2021  10:11 ,5,10.97,0.65,0.00,1.29,0.00,3.87,2.58,2.58
Finished,4 octobre 2021  10:02 ,4 octobre 2021  10:22 ,21,10.97,0.65,1.29,1.29,0.00,2.58,2.58,2.58
Finished,2 octobre 2021  3:23 ,2 octobre 2021  4:04 ,41,18.71,0.65,5.16,0.00,3.87,3.87,2.58,2.58
Finished,3 octobre 2021  9:52 ,3 octobre 2021  11:09 ,76,10.97,0.65,-,1.29,0.00,3.87,2.58,2.58
Finished,3 octobre 2021  10:38 ,3 octobre 2021  11:30 ,52,7.74,0.00,0.00,0.00,0.00,3.87,1.94,1.94
Finished,4 octobre 2021  6:30 ,4 octobre 2021  7:22 ,51,15.48,0.65,0.65,1.29,3.87,3.87,2.58,2.58
Finished,30 septembre 2021  7:15 ,30 septembre 2021  8:22 ,66,17.42,0.65,2.58,1.29,3.87,3.87,2.58,2.58
Finished,3 octobre 2021  10:11 ,3 octobre 2021  10:26 ,14,9.03,0.65,0.00,1.29,0.00,1.94,2.58,2.58
Finished,3 octobre 2021  1:35 ,3 octobre 2021  3:28 ,112,16.13,0.00,5.16,0.00,3.87,3.87,1.29,1.94
Finished,2 octobre 2021  5:36 ,2 octobre 2021  6:51 ,75,19.35,0.65,4.52,1.29,3.87,3.87,2.58,2.58
Finished,3 octobre 2021  1:01 ,3 octobre 2021  2:13 ,71,14.19,0.65,3.87,1.29,0.00,3.87,1.94,2.58
Finished,4 octobre 2021  5:52 ,4 octobre 2021  6:37 ,44,20.00,0.65,5.16,1.29,3.87,3.87,2.58,2.58
Finished,3 octobre 2021  10:51 ,3 octobre 2021  12:32 ,101,13.55,0.65,2.58,1.29,0.00,3.87,2.58,2.58
Finished,2 octobre 2021  11:56 ,3 octobre 2021  12:44 ,48,15.48,0.65,5.16,1.29,0.00,3.87,1.94,2.58
Finished,4 octobre 2021  10:04 ,4 octobre 2021  10:29 ,24,16.13,0.65,2.58,0.00,3.87,3.87,2.58,2.58
Finished,3 octobre 2021  8:46 ,3 octobre 2021  9:35 ,48,10.32,0.65,2.58,0.00,0.00,3.87,2.58,0.65
Finished,3 octobre 2021  11:29 ,4 octobre 2021  12:30 ,60,20.00,0.65,5.16,1.29,3.87,3.87,2.58,2.58
Finished,3 octobre 2021  11:34 ,3 octobre 2021  12:01 ,27,10.97,0.65,0.00,1.29,0.00,3.87,2.58,2.58
Finished,4 octobre 2021  9:55 ,4 octobre 2021  10:30 ,35,12.26,0.65,1.29,1.29,0.00,3.87,2.58,2.58
Finished,3 octobre 2021  10:53 ,3 octobre 2021  12:27 ,94,14.19,0.65,2.58,0.65,1.29,3.87,2.58,2.58
Finished,4 octobre 2021  12:47 ,4 octobre 2021  1:05 ,18,14.84,0.65,4.52,1.29,0.00,3.87,2.58,1.94
Finished,4 octobre 2021  12:01 ,4 octobre 2021  12:57 ,56,12.26,0.65,2.58,0.00,0.00,3.87,2.58,2.58
Finished,4 octobre 2021  9:17 ,4 octobre 2021  9:57 ,40,10.97,0.00,2.58,0.65,0.00,3.87,1.94,1.94
Finished,3 octobre 2021  9:22 ,3 octobre 2021  11:01 ,99,16.13,0.65,2.58,0.00,3.87,3.87,2.58,2.58
Finished,30 septembre 2021  7:26 ,30 septembre 2021  8:24 ,58,17.42,0.65,2.58,1.29,3.87,3.87,2.58,2.58
Finished,3 octobre 2021  9:45 ,3 octobre 2021  10:35 ,50,12.26,0.65,2.58,0.00,0.00,3.87,2.58,2.58
Finished,30 septembre 2021  8:44 ,30 septembre 2021  10:34 ,109,17.42,0.65,2.58,1.29,3.87,3.87,2.58,2.58
Finished,3 octobre 2021  11:57 ,4 octobre 2021  1:34 ,97,12.90,0.65,4.52,1.29,0.00,1.29,2.58,2.58
Finished,29 septembre 2021  1:57 ,29 septembre 2021  3:11 ,74,18.06,0.65,4.52,0.00,3.87,3.87,2.58,2.58
Finished,30 septembre 2021  7:23 ,30 septembre 2021  7:52 ,29,19.35,0.65,4.52,1.29,3.87,3.87,2.58,2.58
Finished,3 octobre 2021  8:00 ,3 octobre 2021  8:23 ,23,13.55,0.65,2.58,1.29,0.00,3.87,2.58,2.58
Finished,4 octobre 2021  12:12 ,4 octobre 2021  12:50 ,38,14.84,0.65,2.58,1.29,3.87,1.29,2.58,2.58
Finished,3 octobre 2021  7:11 ,3 octobre 2021  8:24 ,73,14.84,0.65,4.52,0.00,3.87,0.65,2.58,2.58
Finished,3 octobre 2021  11:09 ,3 octobre 2021  11:50 ,42,3.87,0.00,-,0.00,0.00,0.65,1.29,1.94
Finished,3 octobre 2021  6:50 ,3 octobre 2021  7:10 ,20,16.13,0.65,5.16,1.29,0.00,3.87,2.58,2.58
Finished,4 octobre 2021  7:41 ,4 octobre 2021  8:11 ,30,11.61,0.00,-,-,3.87,3.87,1.94,1.94
