ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /5.00,Q. 3 /5.00,Q. 4 /5.00
28600665.0,Finished,29 novembre 2021  3:58 ,29 novembre 2021  5:09 ,70.0,19.17,5.00,5.00,5.00,4.17
28607480.0,Finished,28 novembre 2021  11:03 ,28 novembre 2021  11:53 ,50.63,15.00,5.00,3.33,2.50,4.17
28507548.0,Finished,27 novembre 2021  2:14 ,27 novembre 2021  3:48 ,93.0,14.72,4.72,3.33,2.50,4.17
3803162.0,Finished,29 novembre 2021  12:06 ,29 novembre 2021  1:58 ,112.0,16.67,5.00,5.00,2.50,4.17
28602627.0,Finished,28 novembre 2021  9:55 ,28 novembre 2021  10:46 ,51.02,11.67,5.00,1.67,2.50,2.50
21114737.0,Finished,29 novembre 2021  4:19 ,29 novembre 2021  6:15 ,115.0,16.67,5.00,5.00,2.50,4.17
3804195.0,Finished,28 novembre 2021  1:27 ,28 novembre 2021  3:16 ,109.0,10.00,1.67,3.33,2.50,2.50
3802503.0,Finished,28 novembre 2021  10:14 ,28 novembre 2021  11:38 ,84.0,10.00,3.33,3.33,2.50,0.83
28720090.0,Finished,28 novembre 2021  10:25 ,28 novembre 2021  11:32 ,67.0,17.50,5.00,5.00,5.00,2.50
3407463.0,Finished,27 novembre 2021  9:58 ,27 novembre 2021  11:27 ,89.0,15.00,5.00,3.33,2.50,4.17
3677161.0,Finished,29 novembre 2021  2:59 ,29 novembre 2021  3:41 ,41.77,17.50,5.00,5.00,5.00,2.50
28603418.0,Finished,27 novembre 2021  2:47 ,27 novembre 2021  4:37 ,109.0,16.67,5.00,5.00,2.50,4.17
28607538.0,Finished,28 novembre 2021  2:46 ,28 novembre 2021  4:37 ,110.0,16.67,5.00,5.00,2.50,4.17
3810013.0,Finished,27 novembre 2021  10:49 ,28 novembre 2021  12:20 ,91.0,10.28,2.78,3.33,0.00,4.17
21109700.0,Finished,29 novembre 2021  1:38 ,29 novembre 2021  2:05 ,27.8,15.00,5.00,3.33,2.50,4.17
28610199.0,Finished,27 novembre 2021  5:20 ,27 novembre 2021  7:20 ,119.0,15.00,5.00,3.33,2.50,4.17
3407716.0,Finished,29 novembre 2021  3:57 ,29 novembre 2021  4:38 ,40.77,5.28,1.94,3.33,0.00,0.00
28604190.0,Finished,27 novembre 2021  9:23 ,27 novembre 2021  10:54 ,91.0,12.50,5.00,3.33,0.00,4.17
3674474.0,Finished,28 novembre 2021  10:10 ,28 novembre 2021  11:19 ,68.0,15.00,5.00,3.33,2.50,4.17
21113747.0,Finished,28 novembre 2021  3:56 ,28 novembre 2021  5:54 ,118.0,15.00,5.00,3.33,2.50,4.17
3800028.0,Finished,28 novembre 2021  6:17 ,28 novembre 2021  6:32 ,15.53,8.06,0.56,3.33,0.00,4.17
28607117.0,Finished,27 novembre 2021  11:46 ,28 novembre 2021  12:41 ,55.95,15.00,5.00,5.00,2.50,2.50
3800075.0,Finished,29 novembre 2021  6:44 ,29 novembre 2021  6:45 ,1.6,3.33,0.00,0.00,2.50,0.83
28619891.0,Finished,29 novembre 2021  8:32 ,29 novembre 2021  9:53 ,80.0,16.67,5.00,5.00,2.50,4.17
3802466.0,Finished,28 novembre 2021  10:44 ,28 novembre 2021  12:42 ,118.0,16.67,5.00,5.00,2.50,4.17
28600653.0,Finished,28 novembre 2021  8:59 ,28 novembre 2021  10:03 ,63.0,12.50,2.50,3.33,2.50,4.17
28610514.0,Finished,29 novembre 2021  9:40 ,29 novembre 2021  10:26 ,46.17,15.56,4.72,3.33,5.00,2.50
28609831.0,Finished,29 novembre 2021  3:09 ,29 novembre 2021  4:21 ,71.0,19.17,5.00,5.00,5.00,4.17
3702385.0,Finished,29 novembre 2021  9:43 ,29 novembre 2021  10:28 ,44.88,15.00,5.00,3.33,2.50,4.17
28600759.0,Finished,29 novembre 2021  9:06 ,29 novembre 2021  10:13 ,66.0,15.00,5.00,3.33,2.50,4.17
28620112.0,Finished,28 novembre 2021  4:28 ,28 novembre 2021  6:00 ,91.0,14.44,2.78,5.00,2.50,4.17
28602386.0,Finished,22 novembre 2021  6:25 ,22 novembre 2021  7:20 ,54.43,15.00,5.00,3.33,2.50,4.17
3700630.0,Finished,28 novembre 2021  9:50 ,28 novembre 2021  10:54 ,63.0,12.50,5.00,3.33,0.00,4.17
28600769.0,Finished,29 novembre 2021  12:15 ,29 novembre 2021  1:10 ,54.98,14.44,2.78,5.00,2.50,4.17
28606830.0,Finished,28 novembre 2021  5:52 ,28 novembre 2021  7:01 ,69.0,15.00,5.00,3.33,2.50,4.17
28605022.0,Finished,28 novembre 2021  10:17 ,28 novembre 2021  11:52 ,94.0,19.17,5.00,5.00,5.00,4.17
3801873.0,Finished,28 novembre 2021  8:33 ,28 novembre 2021  9:26 ,52.9,16.67,5.00,5.00,2.50,4.17
28711440.0,Finished,28 novembre 2021  10:25 ,29 novembre 2021  12:17 ,112.0,16.67,5.00,5.00,2.50,4.17
3702996.0,Finished,22 novembre 2021  5:58 ,22 novembre 2021  6:34 ,35.32,16.67,5.00,5.00,2.50,4.17
28600464.0,Finished,28 novembre 2021  9:48 ,28 novembre 2021  10:28 ,39.88,14.72,4.72,5.00,2.50,2.50
28506638.0,Finished,28 novembre 2021  9:55 ,28 novembre 2021  11:05 ,70.0,13.89,3.89,3.33,2.50,4.17
3800477.0,Finished,29 novembre 2021  2:21 ,29 novembre 2021  4:17 ,115.0,15.00,5.00,3.33,2.50,4.17
28604304.0,Finished,28 novembre 2021  4:03 ,28 novembre 2021  6:01 ,117.0,13.33,5.00,3.33,2.50,2.50
28608396.0,Finished,28 novembre 2021  4:03 ,28 novembre 2021  6:02 ,119.0,12.50,5.00,3.33,2.50,1.67
3708782.0,Finished,28 novembre 2021  3:32 ,28 novembre 2021  4:04 ,32.4,15.00,5.00,5.00,2.50,2.50
28610448.0,Finished,28 novembre 2021  5:47 ,28 novembre 2021  6:51 ,64.0,12.50,5.00,5.00,2.50,0.00
28610117.0,Finished,28 novembre 2021  4:02 ,28 novembre 2021  5:01 ,58.4,10.00,5.00,0.00,2.50,2.50
28601953.0,Finished,28 novembre 2021  9:31 ,28 novembre 2021  10:30 ,59.57,13.33,5.00,3.33,2.50,2.50
28600470.0,Finished,28 novembre 2021  10:30 ,29 novembre 2021  12:15 ,104.0,16.67,5.00,5.00,2.50,4.17
28607314.0,Finished,29 novembre 2021  12:19 ,29 novembre 2021  1:22 ,63.0,16.67,5.00,5.00,2.50,4.17
3702809.0,Finished,28 novembre 2021  5:18 ,28 novembre 2021  6:27 ,69.0,10.00,3.33,0.00,2.50,4.17
3701883.0,Finished,28 novembre 2021  4:30 ,28 novembre 2021  6:13 ,102.0,9.17,5.00,0.00,0.00,4.17
21116436.0,Finished,28 novembre 2021  6:06 ,28 novembre 2021  7:59 ,113.0,16.67,5.00,5.00,2.50,4.17
28601301.0,Finished,28 novembre 2021  2:53 ,28 novembre 2021  4:22 ,88.0,13.33,5.00,1.67,2.50,4.17
28605864.0,Finished,28 novembre 2021  7:56 ,28 novembre 2021  9:19 ,83.0,13.33,5.00,1.67,2.50,4.17
3700453.0,Finished,29 novembre 2021  4:00 ,29 novembre 2021  5:12 ,72.0,14.72,4.72,3.33,2.50,4.17
3808875.0,Finished,22 novembre 2021  5:35 ,22 novembre 2021  6:35 ,59.4,13.33,5.00,3.33,2.50,2.50
21114731.0,Finished,28 novembre 2021  8:10 ,28 novembre 2021  9:28 ,78.0,17.50,5.00,5.00,5.00,2.50
28600559.0,Finished,28 novembre 2021  11:01 ,28 novembre 2021  11:59 ,57.62,7.50,3.33,0.00,2.50,1.67
3801610.0,Finished,28 novembre 2021  11:01 ,29 novembre 2021  12:03 ,62.0,11.94,4.44,3.33,2.50,1.67
28610130.0,Finished,28 novembre 2021  2:30 ,28 novembre 2021  4:15 ,104.0,11.67,5.00,0.00,2.50,4.17
28717594.0,Finished,26 novembre 2021  6:10 ,26 novembre 2021  8:03 ,113.0,13.06,3.89,5.00,0.00,4.17
28614924.0,Finished,28 novembre 2021  11:08 ,28 novembre 2021  11:48 ,39.93,13.89,4.72,5.00,2.50,1.67
3800162.0,Finished,27 novembre 2021  3:57 ,27 novembre 2021  5:53 ,115.0,18.06,3.89,5.00,5.00,4.17
21109170.0,Finished,29 novembre 2021  6:52 ,29 novembre 2021  8:06 ,73.0,14.44,2.78,5.00,2.50,4.17
3709743.0,Finished,28 novembre 2021  11:15 ,29 novembre 2021  12:12 ,57.55,9.72,2.22,1.67,2.50,3.33
21100776.0,Finished,28 novembre 2021  2:33 ,28 novembre 2021  3:14 ,41.23,15.00,5.00,3.33,2.50,4.17
3802257.0,Finished,28 novembre 2021  9:58 ,28 novembre 2021  10:49 ,50.47,13.89,3.89,3.33,2.50,4.17
28610667.0,Finished,27 novembre 2021  10:14 ,28 novembre 2021  12:14 ,120.0,10.28,2.78,3.33,0.00,4.17
3672320.0,Finished,29 novembre 2021  2:05 ,29 novembre 2021  2:40 ,35.15,12.50,5.00,3.33,2.50,1.67
28610190.0,Finished,28 novembre 2021  9:32 ,28 novembre 2021  10:32 ,59.6,12.22,4.72,3.33,2.50,1.67
21108842.0,Finished,29 novembre 2021  1:35 ,29 novembre 2021  3:06 ,91.0,13.33,5.00,1.67,5.00,1.67
3810768.0,Finished,28 novembre 2021  7:17 ,28 novembre 2021  9:01 ,103.0,13.89,4.72,3.33,2.50,3.33
28601393.0,Finished,29 novembre 2021  12:06 ,29 novembre 2021  1:23 ,76.0,16.67,5.00,5.00,2.50,4.17
28610187.0,Finished,23 novembre 2021  11:18 ,23 novembre 2021  1:12 ,113.0,15.00,5.00,5.00,2.50,2.50
3309154.0,Finished,28 novembre 2021  10:43 ,29 novembre 2021  12:11 ,87.0,19.17,5.00,5.00,5.00,4.17
3812676.0,Finished,27 novembre 2021  1:34 ,27 novembre 2021  3:29 ,114.0,12.50,5.00,5.00,0.00,2.50
28600563.0,Finished,27 novembre 2021  4:31 ,27 novembre 2021  6:01 ,90.0,15.83,5.00,3.33,2.50,5.00
28607223.0,Finished,28 novembre 2021  11:13 ,29 novembre 2021  12:03 ,50.1,10.83,5.00,3.33,2.50,0.00
28620155.0,Finished,29 novembre 2021  1:36 ,29 novembre 2021  2:51 ,75.0,13.33,5.00,3.33,2.50,2.50
3415756.0,Finished,29 novembre 2021  5:12 ,29 novembre 2021  6:29 ,77.0,8.06,2.22,3.33,0.00,2.50
3522190.0,Finished,28 novembre 2021  6:10 ,28 novembre 2021  6:31 ,21.23,7.22,0.56,3.33,2.50,0.83
28609645.0,Finished,28 novembre 2021  8:49 ,28 novembre 2021  10:31 ,102.0,15.83,5.00,5.00,2.50,3.33
28605064.0,Finished,29 novembre 2021  1:24 ,29 novembre 2021  2:08 ,43.17,12.50,2.50,3.33,2.50,4.17
28617603.0,Finished,26 novembre 2021  6:10 ,26 novembre 2021  8:02 ,111.0,13.06,3.89,5.00,0.00,4.17
28600712.0,Finished,27 novembre 2021  5:52 ,27 novembre 2021  7:08 ,75.0,15.83,5.00,3.33,2.50,5.00
28610127.0,Finished,29 novembre 2021  2:33 ,29 novembre 2021  4:33 ,120.0,15.00,5.00,3.33,2.50,4.17
28602563.0,Finished,28 novembre 2021  11:17 ,29 novembre 2021  12:01 ,44.3,15.00,5.00,5.00,2.50,2.50
28610328.0,Finished,28 novembre 2021  7:34 ,28 novembre 2021  9:23 ,108.0,17.50,5.00,5.00,5.00,2.50
28717871.0,Finished,28 novembre 2021  4:27 ,28 novembre 2021  6:20 ,113.0,14.17,5.00,3.33,2.50,3.33
28601343.0,Finished,27 novembre 2021  1:33 ,27 novembre 2021  3:09 ,96.0,15.00,5.00,3.33,2.50,4.17
3603679.0,Finished,28 novembre 2021  8:33 ,28 novembre 2021  10:19 ,105.0,19.17,5.00,5.00,5.00,4.17
3809215.0,Finished,28 novembre 2021  9:45 ,28 novembre 2021  11:38 ,112.0,13.33,5.00,3.33,2.50,2.50
3800646.0,Finished,27 novembre 2021  10:40 ,27 novembre 2021  11:40 ,60.0,15.83,5.00,5.00,2.50,3.33
28603036.0,Finished,28 novembre 2021  4:04 ,28 novembre 2021  4:58 ,54.37,13.89,3.89,3.33,2.50,4.17
21109001.0,Finished,28 novembre 2021  7:50 ,28 novembre 2021  8:25 ,34.65,13.33,5.00,3.33,2.50,2.50
28602830.0,Finished,28 novembre 2021  2:47 ,28 novembre 2021  3:53 ,66.0,7.22,2.22,1.67,2.50,0.83
28609129.0,Finished,29 novembre 2021  8:34 ,29 novembre 2021  9:28 ,54.23,13.89,4.72,5.00,2.50,1.67
28720778.0,Finished,29 novembre 2021  9:44 ,29 novembre 2021  10:27 ,42.32,17.50,5.00,5.00,5.00,2.50
