State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
Finished,21 novembre 2021  4:55 ,21 novembre 2021  5:29 ,34.25,10.63,10.63
Finished,21 novembre 2021  4:03 ,21 novembre 2021  4:42 ,38.25,18.75,18.75
Finished,21 novembre 2021  7:48 ,21 novembre 2021  8:34 ,46.23,12.50,12.50
Finished,22 novembre 2021  7:27 ,22 novembre 2021  7:47 ,19.6,20.00,20.00
Finished,21 novembre 2021  9:06 ,21 novembre 2021  9:39 ,32.85,15.00,15.00
Finished,20 novembre 2021  3:18 ,20 novembre 2021  4:25 ,66.0,14.38,14.38
Finished,21 novembre 2021  9:59 ,21 novembre 2021  11:12 ,72.0,17.50,17.50
Finished,21 novembre 2021  11:44 ,22 novembre 2021  1:44 ,120.0,18.75,18.75
Finished,21 novembre 2021  11:41 ,21 novembre 2021  12:38 ,57.25,15.63,15.63
Finished,21 novembre 2021  2:58 ,21 novembre 2021  3:24 ,25.43,16.25,16.25
Finished,21 novembre 2021  9:12 ,21 novembre 2021  9:34 ,22.32,18.13,18.13
Finished,22 novembre 2021  8:18 ,22 novembre 2021  10:08 ,110.0,10.63,10.63
Finished,22 novembre 2021  1:25 ,22 novembre 2021  2:02 ,36.62,19.38,19.38
Finished,21 novembre 2021  10:18 ,22 novembre 2021  12:03 ,104.0,16.25,16.25
Finished,21 novembre 2021  10:40 ,21 novembre 2021  11:19 ,39.3,13.13,13.13
Finished,16 novembre 2021  3:39 ,16 novembre 2021  3:56 ,17.18,13.75,13.75
Finished,21 novembre 2021  7:53 ,21 novembre 2021  9:26 ,92.0,13.75,13.75
Finished,22 novembre 2021  6:39 ,22 novembre 2021  8:39 ,120.0,11.25,11.25
Finished,21 novembre 2021  10:57 ,21 novembre 2021  11:08 ,11.47,18.75,18.75
Finished,17 novembre 2021  10:45 ,17 novembre 2021  10:49 ,3.68,0.00,-
Finished,21 novembre 2021  10:57 ,21 novembre 2021  11:59 ,62.0,19.38,19.38
Finished,19 novembre 2021  2:57 ,19 novembre 2021  4:08 ,71.0,16.25,16.25
Finished,17 novembre 2021  2:15 ,17 novembre 2021  3:29 ,74.0,14.38,14.38
Finished,22 novembre 2021  12:16 ,22 novembre 2021  2:07 ,110.0,19.38,19.38
Finished,21 novembre 2021  11:48 ,22 novembre 2021  12:19 ,31.3,15.63,15.63
Finished,21 novembre 2021  11:55 ,22 novembre 2021  1:04 ,69.0,18.75,18.75
Finished,21 novembre 2021  10:11 ,22 novembre 2021  12:11 ,120.0,13.75,13.75
Finished,22 novembre 2021  8:56 ,22 novembre 2021  9:36 ,40.42,15.00,15.00
Finished,21 novembre 2021  9:26 ,21 novembre 2021  9:45 ,18.18,15.63,15.63
Finished,21 novembre 2021  8:00 ,21 novembre 2021  8:57 ,57.23,13.75,13.75
Finished,22 novembre 2021  12:51 ,22 novembre 2021  2:51 ,120.0,19.38,19.38
Finished,21 novembre 2021  11:27 ,21 novembre 2021  12:10 ,42.58,20.00,20.00
Finished,22 novembre 2021  4:57 ,22 novembre 2021  5:48 ,50.97,19.38,19.38
Finished,22 novembre 2021  12:18 ,22 novembre 2021  1:05 ,46.68,19.38,19.38
Finished,21 novembre 2021  9:19 ,21 novembre 2021  9:33 ,14.43,10.00,10.00
Finished,20 novembre 2021  4:56 ,20 novembre 2021  5:30 ,34.63,20.00,20.00
Finished,22 novembre 2021  4:55 ,22 novembre 2021  5:19 ,23.93,13.75,13.75
Finished,22 novembre 2021  8:52 ,22 novembre 2021  8:59 ,7.62,11.88,11.88
Finished,20 novembre 2021  11:01 ,20 novembre 2021  11:40 ,38.7,15.00,15.00
Finished,19 novembre 2021  7:41 ,19 novembre 2021  8:43 ,62.0,6.25,6.25
Finished,21 novembre 2021  9:46 ,21 novembre 2021  11:09 ,82.0,18.13,18.13
Finished,19 novembre 2021  8:48 ,19 novembre 2021  9:47 ,59.03,15.00,15.00
Finished,22 novembre 2021  8:14 ,22 novembre 2021  8:47 ,32.7,16.25,16.25
Finished,20 novembre 2021  10:53 ,20 novembre 2021  12:36 ,102.0,10.00,10.00
Finished,17 novembre 2021  1:47 ,17 novembre 2021  3:01 ,74.0,20.00,20.00
Finished,22 novembre 2021  8:43 ,22 novembre 2021  9:05 ,22.08,14.38,14.38
Finished,20 novembre 2021  2:50 ,20 novembre 2021  3:55 ,64.0,16.25,16.25
Finished,21 novembre 2021  2:47 ,21 novembre 2021  4:41 ,114.0,13.75,13.75
Finished,21 novembre 2021  7:57 ,21 novembre 2021  8:32 ,35.23,20.00,20.00
Finished,21 novembre 2021  6:49 ,21 novembre 2021  8:15 ,86.0,15.00,15.00
Finished,21 novembre 2021  9:28 ,21 novembre 2021  9:49 ,20.95,12.50,12.50
Finished,21 novembre 2021  11:55 ,22 novembre 2021  1:44 ,109.0,19.38,19.38
Finished,21 novembre 2021  9:13 ,21 novembre 2021  11:13 ,120.0,10.63,10.63
