ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /2.32,Q. 2 /0.80,Q. 3 /5.09,Q. 4 /11.79
21209708.0,Finished,13 December 2022  3:57 PM,13 December 2022  5:25 PM,87.0,18.10,1.89,0.80,3.93,11.48
28618735.0,Finished,13 December 2022  3:58 PM,13 December 2022  5:26 PM,88.0,16.31,2.32,0.80,5.00,8.18
28608444.0,Finished,13 December 2022  3:59 PM,13 December 2022  5:18 PM,78.0,16.40,2.32,0.80,5.09,8.18
3803088.0,Finished,13 December 2022  4:00 PM,13 December 2022  5:20 PM,80.0,16.35,2.32,0.80,5.09,8.13
28707180.0,Finished,13 December 2022  4:01 PM,13 December 2022  5:21 PM,79.0,16.35,2.32,0.80,5.09,8.13
28618109.0,Finished,13 December 2022  4:03 PM,13 December 2022  5:58 PM,114.0,15.01,2.32,0.80,4.73,7.15
28706938.0,Finished,13 December 2022  4:04 PM,13 December 2022  5:14 PM,70.0,14.01,1.81,0.80,3.21,8.18
28713301.0,Finished,13 December 2022  4:04 PM,13 December 2022  5:27 PM,83.0,16.35,2.32,0.80,5.09,8.13
28711501.0,Finished,13 December 2022  4:04 PM,13 December 2022  6:04 PM,120.0,13.19,2.06,0.67,5.00,5.46
21208523.0,Finished,13 December 2022  4:04 PM,13 December 2022  5:37 PM,92.0,16.03,2.24,0.80,4.91,8.08
28705948.0,Finished,13 December 2022  4:05 PM,13 December 2022  5:19 PM,73.0,15.11,2.24,0.67,4.02,8.18
28603668.0,Finished,13 December 2022  4:05 PM,13 December 2022  6:05 PM,120.0,8.97,2.15,0.80,5.09,0.93
28600768.0,Finished,13 December 2022  4:06 PM,13 December 2022  5:32 PM,85.0,15.63,1.89,0.67,5.09,7.98
28720764.0,Finished,13 December 2022  4:08 PM,13 December 2022  5:02 PM,54.32,16.40,2.32,0.80,5.09,8.18
21113286.0,Finished,13 December 2022  4:08 PM,13 December 2022  6:08 PM,120.0,16.31,2.24,0.80,5.09,8.18
3701324.0,Finished,13 December 2022  4:09 PM,13 December 2022  5:56 PM,107.0,14.57,1.12,0.54,5.09,7.82
3703308.0,Finished,13 December 2022  4:10 PM,13 December 2022  5:49 PM,99.0,16.23,2.15,0.80,5.09,8.18
3702933.0,Finished,13 December 2022  4:45 PM,13 December 2022  6:45 PM,120.0,8.05,2.32,0.80,3.84,1.08
28708212.0,Finished,13 December 2022  5:23 PM,13 December 2022  5:51 PM,28.18,14.24,1.29,0.80,4.02,8.13
28606874.0,Finished,14 December 2022  10:45 AM,14 December 2022  12:18 PM,92.0,14.37,2.15,0.80,5.09,6.33
3521887.0,Finished,14 December 2022  10:45 AM,14 December 2022  12:26 PM,101.0,17.84,2.32,0.80,5.09,9.62
28700380.0,Finished,14 December 2022  10:45 AM,14 December 2022  12:12 PM,86.0,16.31,2.32,0.80,5.00,8.18
