ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.35,Q. 2 /2.11,Q. 3 /0.35,Q. 4 /4.21,Q. 5 /0.35,Q. 6 /4.91,Q. 7 /1.05,Q. 8 /3.16,Q. 9 /3.51
28630611.0,Finished,19 September 2022  4:03 PM,19 September 2022  4:38 PM,35.57,20.00,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3971297.0,Finished,19 September 2022  4:03 PM,19 September 2022  5:06 PM,63.0,14.42,0.35,1.05,0.35,2.11,0.35,3.51,0.70,2.84,3.16
3804605.0,Finished,19 September 2022  4:03 PM,19 September 2022  4:39 PM,36.22,20.00,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28716428.0,Finished,19 September 2022  4:03 PM,19 September 2022  4:36 PM,32.83,20.00,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28631974.0,Finished,19 September 2022  4:03 PM,19 September 2022  4:50 PM,46.63,20.00,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28707798.0,Finished,19 September 2022  4:03 PM,19 September 2022  4:59 PM,55.62,19.33,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.16
28725032.0,Finished,19 September 2022  4:04 PM,19 September 2022  4:41 PM,37.07,19.65,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
3811684.0,Finished,19 September 2022  4:04 PM,19 September 2022  4:40 PM,35.83,20.00,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28631029.0,Finished,19 September 2022  4:05 PM,19 September 2022  5:09 PM,63.0,20.00,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3803110.0,Finished,19 September 2022  4:05 PM,19 September 2022  5:12 PM,66.0,20.00,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
21212519.0,Finished,19 September 2022  4:06 PM,19 September 2022  5:19 PM,73.0,11.30,0.35,1.05,0.35,2.11,0.35,2.46,1.05,2.53,1.05
3811446.0,Finished,19 September 2022  4:06 PM,19 September 2022  4:54 PM,47.2,17.54,0.35,2.11,0.35,4.21,0.35,3.86,1.05,3.16,2.11
28617316.0,Finished,19 September 2022  4:07 PM,19 September 2022  5:16 PM,69.0,19.65,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
28718775.0,Finished,19 September 2022  4:07 PM,19 September 2022  5:04 PM,56.57,20.00,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28711545.0,Finished,19 September 2022  4:07 PM,19 September 2022  5:18 PM,71.0,19.21,0.35,2.11,0.35,4.21,0.26,4.21,1.05,3.16,3.51
28706087.0,Finished,19 September 2022  4:07 PM,19 September 2022  4:56 PM,48.4,16.14,0.35,1.40,0.35,2.81,0.35,3.16,1.05,3.16,3.51
28632942.0,Finished,19 September 2022  4:08 PM,19 September 2022  4:55 PM,46.58,19.30,0.35,2.11,0.35,4.21,0.35,4.21,1.05,3.16,3.51
28707696.0,Finished,19 September 2022  4:08 PM,19 September 2022  4:42 PM,33.63,19.33,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.16
28707797.0,Finished,19 September 2022  4:10 PM,19 September 2022  5:07 PM,57.32,12.07,0.35,2.11,0.35,2.11,0.35,2.11,0.70,1.89,2.11
21113317.0,Finished,19 September 2022  4:10 PM,19 September 2022  5:17 PM,67.0,19.68,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.51
28706411.0,Finished,19 September 2022  4:10 PM,19 September 2022  5:15 PM,65.0,18.60,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,2.11
