ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.94,Q. 2 /2.91,Q. 3 /2.91,Q. 4 /2.14,Q. 5 /0.19,Q. 6 /3.11,Q. 7 /1.55,Q. 8 /0.58,Q. 9 /1.17,Q. 10 /3.50
21201851.0,Finished,17 October 2022  4:07 PM,17 October 2022  5:43 PM,95.0,19.16,1.94,2.91,2.66,2.14,0.19,3.11,1.36,0.58,0.78,3.50
28711811.0,Finished,17 October 2022  4:07 PM,17 October 2022  5:27 PM,79.0,19.42,1.94,2.91,2.91,2.14,0.19,2.91,1.36,0.39,1.17,3.50
21200169.0,Finished,17 October 2022  4:07 PM,17 October 2022  5:52 PM,104.0,19.38,1.83,2.79,2.91,2.14,0.19,2.72,1.55,0.58,1.17,3.50
28630611.0,Finished,17 October 2022  4:08 PM,17 October 2022  5:21 PM,72.0,20.00,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
28707365.0,Finished,17 October 2022  4:10 PM,17 October 2022  5:27 PM,76.0,19.22,1.94,2.91,2.91,2.14,0.19,2.72,1.55,0.58,0.97,3.30
28606787.0,Finished,17 October 2022  4:31 PM,17 October 2022  6:16 PM,105.0,4.49,1.83,2.66,-,-,-,-,-,-,-,-
28708274.0,Finished,18 October 2022  3:50 PM,18 October 2022  4:45 PM,55.72,20.00,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
28705959.0,Finished,18 October 2022  3:54 PM,18 October 2022  5:04 PM,69.0,19.89,1.83,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
28706636.0,Finished,18 October 2022  3:55 PM,18 October 2022  5:24 PM,88.0,18.46,1.83,2.53,2.83,2.14,0.19,3.11,0.58,0.58,1.17,3.50
3802649.0,Finished,18 October 2022  3:56 PM,18 October 2022  4:59 PM,63.0,19.31,1.83,2.91,2.91,2.14,0.19,3.11,1.55,0.58,0.58,3.50
28711626.0,Finished,18 October 2022  3:56 PM,18 October 2022  5:28 PM,91.0,19.12,1.83,2.91,2.91,2.14,0.19,2.33,1.55,0.58,1.17,3.50
21200397.0,Finished,18 October 2022  3:58 PM,18 October 2022  5:15 PM,77.0,19.89,1.83,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
28608444.0,Finished,18 October 2022  3:58 PM,18 October 2022  5:08 PM,69.0,19.70,1.73,2.91,2.83,2.14,0.19,3.11,1.55,0.58,1.17,3.50
21200527.0,Finished,18 October 2022  3:58 PM,18 October 2022  5:02 PM,63.0,13.77,1.51,2.79,2.83,1.60,0.19,1.94,0.78,0.39,0.97,0.78
21208634.0,Finished,18 October 2022  3:58 PM,18 October 2022  5:14 PM,75.0,19.53,1.83,2.91,2.74,2.14,0.19,3.11,1.55,0.58,0.97,3.50
21119283.0,Finished,18 October 2022  3:59 PM,18 October 2022  5:20 PM,81.0,19.70,1.83,2.91,2.91,2.14,0.19,3.11,1.55,0.58,0.97,3.50
28706232.0,Finished,18 October 2022  4:00 PM,18 October 2022  5:17 PM,77.0,18.56,1.73,2.66,2.91,2.14,0.19,2.33,1.55,0.58,1.17,3.30
21218316.0,Finished,18 October 2022  4:00 PM,18 October 2022  5:30 PM,89.0,19.31,1.83,2.91,2.91,2.14,0.19,3.11,1.55,0.58,0.97,3.11
28711733.0,Finished,18 October 2022  4:01 PM,18 October 2022  5:23 PM,82.0,18.11,1.83,2.66,2.74,2.14,0.19,2.33,1.17,0.58,1.17,3.30
28618735.0,Finished,18 October 2022  4:01 PM,18 October 2022  5:02 PM,61.0,19.70,1.83,2.91,2.91,2.14,0.19,2.91,1.55,0.58,1.17,3.50
28706938.0,Finished,18 October 2022  4:01 PM,18 October 2022  4:55 PM,53.77,19.89,1.83,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
28705948.0,Finished,18 October 2022  4:02 PM,18 October 2022  5:05 PM,63.0,19.89,1.83,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
28711002.0,Finished,18 October 2022  4:02 PM,18 October 2022  5:04 PM,62.0,19.78,1.73,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
3803088.0,Finished,18 October 2022  4:02 PM,18 October 2022  5:29 PM,86.0,18.99,1.83,2.79,2.91,2.14,0.19,2.33,1.55,0.58,1.17,3.50
28706331.0,Finished,18 October 2022  4:04 PM,18 October 2022  4:51 PM,47.67,16.89,1.94,2.91,2.91,2.14,0.19,1.17,1.55,0.58,0.00,3.50
28616341.0,Finished,18 October 2022  4:05 PM,18 October 2022  5:37 PM,92.0,18.22,1.29,2.91,2.91,1.78,0.19,2.91,1.17,0.39,1.17,3.50
28610536.0,Finished,18 October 2022  4:05 PM,18 October 2022  5:21 PM,76.0,20.00,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
3672079.0,Finished,18 October 2022  4:05 PM,18 October 2022  5:43 PM,97.0,19.45,1.94,2.91,2.91,1.78,0.19,3.11,1.55,0.58,1.17,3.30
28711501.0,Finished,18 October 2022  4:07 PM,18 October 2022  5:48 PM,100.0,16.57,1.51,2.91,2.83,2.14,0.19,1.17,0.97,0.39,0.97,3.50
28713301.0,Finished,18 October 2022  4:07 PM,18 October 2022  5:27 PM,79.0,20.00,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
3803944.0,Finished,18 October 2022  4:09 PM,18 October 2022  5:54 PM,105.0,0.00,-,-,-,-,-,-,-,-,-,-
28716648.0,Finished,18 October 2022  4:13 PM,18 October 2022  5:53 PM,99.0,20.00,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
28707180.0,Finished,18 October 2022  4:14 PM,18 October 2022  5:15 PM,61.0,19.74,1.94,2.91,2.66,2.14,0.19,3.11,1.55,0.58,1.17,3.50
3804887.0,Finished,18 October 2022  4:14 PM,18 October 2022  5:45 PM,90.0,13.90,1.51,2.91,2.83,1.60,0.19,1.17,0.97,0.39,0.39,1.94
28708212.0,Finished,18 October 2022  4:16 PM,18 October 2022  5:21 PM,65.0,20.00,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
28603668.0,Finished,18 October 2022  4:17 PM,18 October 2022  5:47 PM,90.0,19.01,1.94,2.79,2.83,2.14,0.19,3.11,1.36,0.39,1.17,3.11
3804052.0,Finished,18 October 2022  4:17 PM,18 October 2022  6:02 PM,105.0,0.00,-,-,-,-,-,-,-,-,-,-
21208523.0,Finished,18 October 2022  4:20 PM,18 October 2022  5:33 PM,72.0,20.00,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
28700380.0,Finished,19 October 2022  10:26 AM,19 October 2022  11:43 AM,76.0,20.00,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
28627904.0,Finished,19 October 2022  10:26 AM,19 October 2022  11:22 AM,56.17,20.00,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
28602661.0,Finished,19 October 2022  10:26 AM,19 October 2022  12:10 PM,103.0,19.61,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,0.78,3.50
28606874.0,Finished,19 October 2022  10:26 AM,19 October 2022  11:47 AM,80.0,17.43,1.51,2.53,2.66,1.60,0.19,3.11,1.55,0.39,0.78,3.11
28706765.0,Finished,19 October 2022  10:26 AM,19 October 2022  12:10 PM,103.0,19.61,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,0.78,3.50
28706902.0,Finished,19 October 2022  10:27 AM,19 October 2022  11:34 AM,67.0,19.81,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.30
28602162.0,Finished,19 October 2022  10:27 AM,19 October 2022  12:10 PM,102.0,19.61,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,0.78,3.50
28708078.0,Finished,19 October 2022  10:28 AM,19 October 2022  11:46 AM,77.0,20.00,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
28714617.0,Finished,19 October 2022  10:28 AM,19 October 2022  11:51 AM,82.0,19.61,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,0.78,3.50
