ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /2.44,Q. 2 /0.98,Q. 3 /0.98,Q. 4 /0.24,Q. 5 /0.24,Q. 6 /0.24,Q. 7 /0.49,Q. 8 /0.24,Q. 9 /5.12,Q. 10 /0.24,Q. 11 /7.80,Q. 12 /0.98
21200169.0,Finished,28 November 2022  4:10 PM,28 November 2022  5:49 PM,99.0,15.37,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.24,3.90,0.98
28707365.0,Finished,28 November 2022  4:10 PM,28 November 2022  5:45 PM,94.0,17.07,2.44,0.73,0.98,0.24,0.24,0.00,0.49,0.24,4.63,0.24,5.85,0.98
28713149.0,Finished,28 November 2022  4:12 PM,28 November 2022  5:43 PM,90.0,15.37,2.20,0.98,0.98,0.24,0.24,0.00,0.49,0.00,4.39,0.00,5.85,0.00
28706138.0,Finished,28 November 2022  4:13 PM,28 November 2022  4:58 PM,44.23,15.85,1.95,0.98,0.98,0.24,0.24,0.24,0.49,0.24,3.41,0.24,5.85,0.98
28610654.0,Finished,28 November 2022  4:18 PM,28 November 2022  5:05 PM,46.92,14.39,2.20,0.73,0.73,0.24,0.24,0.24,0.49,0.00,1.46,0.24,6.83,0.98
28707726.0,Finished,28 November 2022  4:19 PM,28 November 2022  5:36 PM,77.0,15.12,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.15,0.24,4.88,0.00
21201851.0,Finished,28 November 2022  4:20 PM,28 November 2022  5:39 PM,78.0,14.88,1.46,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,4.88,0.00
28705959.0,Finished,29 November 2022  4:00 PM,29 November 2022  4:54 PM,54.1,18.05,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,5.85,0.98
3802649.0,Finished,29 November 2022  4:00 PM,29 November 2022  4:39 PM,39.12,16.83,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.00,4.63,0.00,5.85,0.98
28708274.0,Finished,29 November 2022  4:01 PM,29 November 2022  4:40 PM,39.18,17.32,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.00,4.88,0.24,5.85,0.98
21200527.0,Finished,29 November 2022  4:01 PM,29 November 2022  4:58 PM,57.68,11.22,1.71,0.49,0.98,0.24,0.00,0.24,0.49,0.00,3.17,0.00,2.93,0.98
3803088.0,Finished,29 November 2022  4:02 PM,29 November 2022  5:15 PM,72.0,18.05,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,5.85,0.98
28711733.0,Finished,29 November 2022  4:03 PM,29 November 2022  5:16 PM,73.0,18.05,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,5.85,0.98
28706938.0,Finished,29 November 2022  4:03 PM,29 November 2022  5:27 PM,84.0,16.34,2.44,0.73,0.98,0.00,0.24,0.24,0.49,0.00,4.39,0.00,5.85,0.98
28706563.0,Finished,29 November 2022  4:03 PM,29 November 2022  5:11 PM,67.0,17.80,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,5.85,0.98
21215141.0,Finished,29 November 2022  4:03 PM,29 November 2022  5:15 PM,71.0,17.32,2.44,0.98,0.98,0.24,0.00,0.00,0.49,0.24,4.88,0.24,5.85,0.98
28711501.0,Finished,29 November 2022  4:03 PM,29 November 2022  5:45 PM,102.0,15.61,2.20,0.98,0.98,0.00,0.00,0.24,0.49,0.24,3.41,0.24,5.85,0.98
21200397.0,Finished,29 November 2022  4:04 PM,29 November 2022  5:13 PM,68.0,17.07,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,4.88,0.98
28705948.0,Finished,29 November 2022  4:04 PM,29 November 2022  5:00 PM,56.52,17.56,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,5.85,0.98
28608444.0,Finished,29 November 2022  4:05 PM,29 November 2022  5:05 PM,60.0,17.80,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,5.85,0.98
21119283.0,Finished,29 November 2022  4:05 PM,29 November 2022  5:00 PM,55.15,17.07,2.44,0.98,0.98,0.24,0.00,0.24,0.49,0.24,4.39,0.24,5.85,0.98
21218316.0,Finished,29 November 2022  4:05 PM,29 November 2022  5:00 PM,55.4,17.32,2.44,0.98,0.98,0.24,0.00,0.24,0.49,0.24,4.63,0.24,5.85,0.98
28713301.0,Finished,29 November 2022  4:06 PM,29 November 2022  5:02 PM,56.48,17.80,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,5.85,0.98
3804052.0,Finished,29 November 2022  4:07 PM,29 November 2022  5:02 PM,55.0,17.56,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,5.85,0.98
28711664.0,Finished,29 November 2022  4:07 PM,29 November 2022  5:16 PM,68.0,17.80,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,5.85,0.98
28609357.0,Finished,29 November 2022  4:08 PM,29 November 2022  5:07 PM,59.02,17.56,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.98
28716648.0,Finished,29 November 2022  4:08 PM,29 November 2022  5:53 PM,104.0,18.54,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,6.83,0.98
28610536.0,Finished,29 November 2022  4:09 PM,29 November 2022  4:44 PM,35.0,16.59,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,4.88,0.98
3701324.0,Finished,29 November 2022  4:10 PM,29 November 2022  5:33 PM,82.0,16.83,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,4.88,0.98
28618109.0,Finished,29 November 2022  4:11 PM,29 November 2022  5:44 PM,93.0,17.07,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,4.88,0.98
28720764.0,Finished,29 November 2022  4:11 PM,29 November 2022  5:18 PM,66.0,15.61,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.00,3.90,0.24,5.85,0.00
3703308.0,Finished,29 November 2022  4:12 PM,29 November 2022  5:01 PM,49.35,16.59,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.15,0.24,5.85,0.98
28711002.0,Finished,29 November 2022  4:13 PM,29 November 2022  5:37 PM,84.0,17.56,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,5.85,0.98
28707180.0,Finished,29 November 2022  4:14 PM,29 November 2022  5:14 PM,60.0,14.39,1.95,0.98,0.98,0.24,0.24,0.24,0.49,0.00,3.41,0.00,5.85,0.00
28708487.0,Finished,29 November 2022  4:16 PM,29 November 2022  5:55 PM,98.0,17.56,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,5.85,0.98
28618735.0,Finished,29 November 2022  4:23 PM,29 November 2022  5:04 PM,40.3,16.59,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,3.90,0.24,5.85,0.98
28708212.0,Finished,29 November 2022  4:24 PM,29 November 2022  5:18 PM,53.75,15.61,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.00,3.90,0.24,5.85,0.00
28708078.0,Finished,30 November 2022  10:46 AM,30 November 2022  11:42 AM,56.1,19.76,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,7.80,0.98
28706902.0,Finished,30 November 2022  10:47 AM,30 November 2022  11:39 AM,52.03,19.76,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,7.80,0.98
28606874.0,Finished,30 November 2022  10:47 AM,30 November 2022  11:59 AM,72.0,14.63,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,2.93,0.24,5.85,0.00
28627904.0,Finished,30 November 2022  10:48 AM,30 November 2022  11:31 AM,42.9,20.00,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,7.80,0.98
28706827.0,Finished,30 November 2022  10:49 AM,30 November 2022  11:45 AM,56.47,19.02,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.15,0.24,7.80,0.98
28602815.0,Finished,30 November 2022  10:50 AM,30 November 2022  11:55 AM,65.0,19.51,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,7.80,0.98
28706765.0,Finished,30 November 2022  10:52 AM,30 November 2022  12:13 PM,80.0,19.27,2.44,0.98,0.98,0.24,0.24,0.24,0.24,0.24,4.63,0.24,7.80,0.98
28602661.0,Finished,30 November 2022  10:52 AM,30 November 2022  12:13 PM,80.0,19.51,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,7.80,0.98
